Industry_Name,Number_of_firms,Average_Unlevered_Beta,Average_Levered_Beta,Average_correlation_with_the_market,Total_Unlevered_Beta,Total_Levered_Beta
Retail (Grocery and Food),8,0.09204570784900744,0.0919019856634679,0.12512724912267295,0.7356168100424485,0.7344682018332275
Retail (Special Lines),43,0.7427329295910126,0.7912918228457284,0.14043200666554245,5.288914879354605,5.634697115240227
Rubber& Tires,16,0.8233251695078064,0.882435532314457,0.1333870592774607,6.172451615378923,6.615600771877636
Semiconductor,8,1.572232692288697,1.611640106554315,0.15203161201755355,10.34148537547025,10.600690771918115
Shipbuilding & Marine,23,1.093454652425818,1.2137705364534905,0.12230253955780736,8.940571932351308,9.924328152481179
Shoe,12,0.02051605741423998,0.02090926001662446,0.12267496479572,0.1672391546914531,0.17044439386180255
Software (Entertainment),5,0.7867794606333218,0.7830360024669405,0.23626782641923566,3.3300321612018964,3.314188031160513
Software (Internet),6,-0.005801692855009124,-0.005743368169490874,0.08773982097341289,-0.06612382827595654,-0.06545908238439696
Software (System & Application),73,1.2041292290782728,1.164011103524074,0.15345286842317338,7.846899451613207,7.585463311862688
Steel,168,0.9500607759424967,1.084854582186584,0.1530915194720204,6.2058354324201055,7.0863140292030105
Telecom (Wireless),3,0.9603867067981239,1.4439288990342127,0.23541567078567746,4.079536012164884,6.133529234546014
Telecom. Equipment,21,1.058333255363055,1.119210033764422,0.15232134554351728,6.948029848257186,7.347690041542276
Telecom. Services,14,0.6773406535460941,0.9416250090142464,0.19274563629727123,3.5141685516627357,4.885324654312692
Tobacco,6,0.44628454047002875,0.4425671945911314,0.11839313535381817,3.7695136558070392,3.7381153330260095
Transportation,48,0.8447643196691297,0.9530728273166269,0.1526621511858693,5.533554408260708,6.243019765627705
Transportation (Railroads),1,0.9932980384380955,0.9405038582158329,0.17888543819998318,5.552704839661952,5.257576400178566
Trucking,12,0.6355021961935216,0.7187386112992881,0.13209524712868878,4.810939151916705,5.441063376028088
Utility (Water),1,1.8862878351059917,1.8233554710432027,0.19748417658131498,9.55158974131431,9.23291932856417
Total Market,4446,0.7056109580681883,0.8021784340299848,0.1382105672635571,5.105332913673971,5.804031123758368
Total Market (without financials),3850,0.7594040891618811,0.8198477825445601,0.13891945967499703,5.466506211142138,5.901605034043462
