Industry_Name,Number_of_firms,Total_Dividends_US_millions_,Special_Dividends_as_of_Total_Dividends,Dividend_Payout,Dividend_Yield,Market_Cap_US_millions_,ROE,Institutional_Holdings,Std_Dev_in_Stock_Prices
Paper/Forest Products,49,48.76599999999999,0,0.07812071978841434,0.005901020027238643,8263.994999999997,0.2101030288690183,0.11154159999999999,0.33622749665462703
Power,32,3389.4065,0.022186775177306117,0.3639788653404276,0.018581155775056982,182410.96200000003,0.15573897583323204,0.18632035714285713,0.3130009553928686
Publishing & Newspapers,22,24.573,0,0.20975851266336037,0.011401487997884227,2155.245000000001,0.09002085520158236,0.061853846153846155,0.3888542826313922
R.E.I.T.,4,609.66,0,6.183791459580078,0.0728918327574457,8363.9,0.013754185267857145,0.19662500000000002,0.10577529881527599
Real Estate (Development),150,44.71533,0,0.09537907115143011,0.000975613188491135,45833.05200000001,0.055886195608896655,0.07795263157894737,0.4276323370609384
Real Estate (General/Diversified),17,146.15,0,0.4830718278062953,0.004658192867224643,31374.828,0.042325557449792245,0.12156874999999999,0.2903085594737977
Real Estate (Operations & Services),32,33.6,0,0.43001945326098073,0.018546751613732988,1811.638,0.14066570292345448,0.05990588235294117,0.36464228273898797
Recreation,12,2.625,0,0.03868714260449214,0.0024035512125801417,1092.1339999999998,0.38580989259050763,0.06803333333333333,0.42796554687516764
Reinsurance,1,152,0,0.1905239408373026,0.023117519125184408,6575.1,0.10186804908257466,0.0929,0.2522730228319716
Restaurant/Dining,16,16.119,0,0.001481444393705952,0.0006727714305497997,23959.103000000003,-0.011631127187838944,0.2645090909090909,0.35149329309790395
Retail (Automotive),4,1.1740000000000002,0,0.06298621170663664,0.0013863303575645932,846.84,0.06596241639239835,0.15307500000000002,0.3316325757613725
Retail (Building Supply),4,0.687,0,0.29535683576956145,0.0025386150321484,270.62,0.02962755387985938,0.08156666666666666,0.3602305511752161
Retail (Distributors),253,58.94799999999999,0.01866051435163195,0.10732980956733419,0.0012004976236570275,49102.97100000005,0.09557932795510399,0.05988072072072073,0.4095098192832985
Retail (General),11,0.64,0,0.005115129339686862,0.00020745300865208704,3085.036,-0.023050464510261093,0.12267500000000002,0.39218955174446285
Retail (Grocery and Food),8,0,0,0,0,31883.596999999998,0.15173308137753716,0.0677,0.39589810917128354
Retail (Special Lines),43,32.032,0.06118881118881119,0.22040569179533764,0.0009406503708112942,34053.03500000002,0.06127387015076458,0.10886074074074074,0.3926749969905448
Rubber& Tires,16,96.523,0.229996995534743,0.14003351298809635,0.004969065286711098,19424.78,0.13379503621842315,0.11106615384615384,0.29353256193213884
Semiconductor,8,0.10500000000000001,0,0.06158357771260997,0.00015523358959195743,676.4,0.021819810596365494,0.020503333333333335,0.5010518370389238
Shipbuilding & Marine,23,43.012,0,0.04491153330096429,0.0012034547534084503,35740.437999999995,0.1301238459500404,0.081815,0.4009758861057829
Shoe,12,29.012999999999998,0,0.3905633708016422,0.004494946380726126,6454.582,0.12005714775182753,0.17414,0.23207910655101902
Software (Entertainment),5,30.84,0,0.7652225695995237,0.003437088683352075,8972.710000000001,0.018253957469936813,0.14920000000000003,0.1867409361734939
Software (Internet),6,0.057,0,0.022864019253910954,0.0003676944910334151,155.01999999999998,0.22665696881534683,0.04763,0.504931470076568
Software (System & Application),73,343.746,0,0.5916342375617671,0.011125523124138914,30897.064,0.16137661366614622,0.08837149999999999,0.4048728665269909
Steel,168,1276.0875999999998,0,0.29971669791241445,0.010370037090409926,123055.25899999999,0.09585435734350681,0.07783401960784314,0.3982756101395821
Telecom. Equipment,21,10.651,0,0.5031889261586434,0.0013441884766537014,7923.74,0.014688167028891972,0.09879692307692307,0.4027510512651054
Tobacco,6,2373.1000000000004,0,0.925569485965908,0.03290859506328086,72111.86,0.2985833931718629,0.18791999999999998,0.21010525025921484
Transportation,48,45.23700000000001,0,0.0014807458162989986,0.0042698594194305085,10594.494,-0.007996285845659635,0.14116399999999996,0.40370110060761377
Transportation (Railroads),1,88,0,0.6162464985994397,0.013959390862944163,6304,0.10515463917525775,0.2921,0.2119792442669801
Trucking,12,5.329999999999999,0,0.12412090727027149,0.005146392166669723,1035.6770000000001,0.27036454070389726,0.08418333333333333,0.4328898998753725
Utility (Water),1,0,0,0,0,477.1,0.1604009967477059,0.1636,0.2649326184290872
Total Market,4446,50642.98266000001,0.014800194629768676,0.30882748421756784,0.01154260614458878,4387482.516999996,0.1604009967477059,0.10414252581413834,0.3726692706546333
Total Market (without financials),3850,42040.13691000001,0.017828819197344525,0.4048190694312622,0.012472341263361638,3370669.228999996,0.15260675601052445,0.1003745366505443,0.36996431726051343
