Industry_Name,Number_of_firms,PBV,ROE,EV_Invested_Capital,ROIC
Advertising,18,2.874833977233922,0.24849955012358674,3.2462572870607267,0.2884679769308927
Aerospace/Defense,16,8.101114048526915,0.257568894780948,17.019739052039313,0.29198935586814945
Apparel,344,6.658161728679137,0.12017638777186537,3.9422632128207944,0.08587489994396119
Auto & Truck,12,4.787622916623312,0.3763702351441578,2.7118291505191197,0.14305280230993955
Auto Parts,109,5.083834757264112,0.13531841999548025,3.878034872990573,0.1271706990478923
Bank (Money Center),34,1.9861330449289198,0.16003542007530566,1.6750374704649444,7.825859036490694e-05
Banks (Regional),5,2.650662481873622,0.16502318879733438,2.31732111925472,0.0016023533302540712
Beverage (Alcoholic),19,9.45425880909112,0.15282765534454246,8.95592539279412,0.16332215047200002
Beverage (Soft),5,24.151683747442846,0.40215554558390065,15.761138073167952,0.35584933296578297
Broadcasting,19,0.9690975957569239,0.05502401602585991,1.0297049892926635,0.0600983906436817
Brokerage & Investment Banking,170,2.314463171770761,0.12420793789623032,1.6665502424801881,0.0038800085445582656
Building Materials,51,6.347331209484182,0.15483092827912986,5.239759846049595,0.12737870599408893
Business & Consumer Services,65,7.516554825129945,0.18715617909020818,9.41672717625375,0.2578406899670419
Cable TV,8,1.7344524396721168,-0.16277734330137653,1.6124760003640957,0.020304500852436017
Chemical (Basic),138,3.4448758463299063,0.12673454327385195,2.9705457427611344,0.11810507290106584
Chemical (Diversified),9,7.740004327651287,0.16347664657770125,6.964158127909184,0.13843932822428917
Chemical (Specialty),178,4.903525514771159,0.14906565422169793,4.462740506611202,0.14364726094527913
Coal & Related Energy,4,3.2570330679220905,0.46306857237292237,4.787922127862132,0.9228382670899976
Computer Services,156,7.992981852171443,0.2844606833385903,9.514970852507705,0.3589371536023143
Computers/Peripherals,8,12.354514251228986,0.30476377180944914,14.835797343465137,0.30068296401295336
Construction Supplies,97,2.9708458827081765,0.10752037884647246,2.4510829668860925,0.1069344133591396
Diversified,15,3.3579280487905243,0.12938808321183087,2.8731330264094304,0.07422456629083224
Drugs (Biotechnology),8,1.3108602449410092,0.04729198609604251,1.6855513131353839,0.1162154814961654
Drugs (Pharmaceutical),167,4.563676324708372,0.1416047740814535,4.207943056998776,0.1409022427866403
Education,29,3.46338385978392,-0.07307462111017832,4.052069662447145,0.08422261504619093
Electrical Equipment,111,7.198733110972919,0.11965951376150141,6.23512050502194,0.10035290908571348
Electronics (Consumer & Office),7,18.447775997558555,0.19421411366781124,13.879307676680934,0.17532872508201497
Electronics (General),35,8.229079908452954,0.21452697597492132,10.404262901726227,0.15822108921442715
Engineering/Construction,155,4.50609894240707,0.12018930036106845,2.6300846638595905,0.0951501041694268
Entertainment,65,2.76457730310949,0.305811268529741,2.5209028029191347,0.07020015010167709
Environmental & Waste Services,14,4.691570390321295,0.14339688041594453,5.141398060887465,0.19541910182817634
Farming/Agriculture,59,3.016163494202639,0.16606563930640256,2.609932302742446,0.09293055905148623
Financial Svcs. (Non-bank & Insurance),274,2.4333423334381266,0.19189096580368276,1.3116334888586803,0.008576951241028474
Food Processing,192,7.505288922141106,0.12630226357586943,6.536379348811595,0.17661396044513325
Food Wholesalers,34,2.044597698377772,0.08195313818584755,1.9097574109048843,0.0737226298416071
Furn/Home Furnishings,43,4.987924481555282,0.08708145816244338,5.54837157718316,0.09768393529536851
Green & Renewable Energy,16,6.2536945134141355,0.12000453397240758,3.0473229419025114,0.0745014014636449
Healthcare Products,11,8.315518898500189,0.16582556767685164,8.257885109045786,0.14425714315548824
Healthcare Support Services,37,7.507829460416985,0.12238493262141603,9.01460185356023,0.2136890665007628
Heathcare Information and Technology,14,5.698956066987365,0.07507182487316033,6.815852552578534,0.10544414981591684
Homebuilding,1,1.9492753623188408,0.008445945945945946,1.9468738706179984,0.006734006734006733
Hospitals/Healthcare Facilities,32,7.591325713306458,0.15472897987998593,8.19550339376137,0.18866981974450717
Hotel/Gaming,60,5.259298338406625,0.11218356830774188,4.4580833546253675,0.11547607625678236
Household Products,37,12.139074737690114,0.21477100785934686,17.73174347083322,0.32427467194390713
Information Services,20,3.7806998061702473,0.1786965618943939,5.1233417767903875,0.3617115759815366
Insurance (Life),7,8.503144791121956,0.6245589500860584,12.53970736497442,0.5889021901148607
Insurance (Prop/Cas.),2,1.9408333459920097,0.053283787323205864,2.1767755267558275,0.08720254603943159
Investments & Asset Management,102,1.5674550322338296,0.12753101657130717,1.4977826109558947,0.05419665505427133
Machinery,161,7.457099792179987,0.2140228743655098,6.574404437791474,0.18876372221571536
Metals & Mining,42,2.4937458444513037,0.12293445578272391,2.017178098825187,0.1544494758570719
Office Equipment & Services,17,8.40845161320063,0.4856744334941578,6.945543438455632,0.4628386983723181
Oil/Gas (Integrated),1,0.7665244912928904,0.15125601750547046,0.8395384922453976,0.14372783026292443
Oil/Gas (Production and Exploration),8,1.978964533281709,0.2624009890084949,1.2325952332697672,0.2092195185073121
Oil/Gas Distribution,11,2.321859286176481,0.38632749591042237,2.441871970945418,0.3004497768732484
Oilfield Svcs/Equip.,23,1.7000316881176265,0.15393606292550888,1.514083828307192,0.11601295631055174
Packaging & Container,86,2.140337436969438,0.056477351044989674,1.7070531936776123,0.08404180580296279
Paper/Forest Products,49,2.2358483215164813,0.2101030288690183,1.9360905999037057,0.17929348911722925
Power,32,2.6406388572279784,0.15573897583323204,1.8069023985575887,0.08740630377798193
Precious Metals,1,6.942598187311178,-0.049900990099009904,9.172043010752688,-0.14712599923867528
