Industry_Name,Number_of_Firms,Dividends_in_millions,Buybacks_in_millions,Equity_Issuance_in_millions,Net_Equity_Change_in_millions,Net_Equity_Change_as_of_Book_Equity,Debt_Repaid_in_millions,Debt_Raised_in_millions,Net_Debt_Change_in_millions,Net_Change_in_Debt_as_of_Total_Debt,Change_in_Lease_Debt_in_millions
Real Estate (Operations & Services),32,33.6,0,5.064,5.064,0.009116554720031398,9.681,10.956999999999997,1.275999999999998,0.005296407906424584,4.614
Recreation,12,2.625,0,0.498,0.498,0.002831653105436433,15.087,4.584,-10.503,-0.16288519098649215,0.2270000000000012
Restaurant/Dining,16,16.119,2.875,4.143,1.2679999999999998,0.0003490632002598703,213.482,59.795,-153.687,-0.11644233646877877,217.24199999999996
Retail (Automotive),4,1.1740000000000002,0,18.276,18.276,0.06467777895742648,15.426,8.165999999999999,-7.260000000000002,-0.055373772967530856,-0.29900000000000304
Retail (Building Supply),4,0.687,0,12.21,12.21,0.15552555153614916,5.951,6.244,0.29300000000000015,0.008313000056744032,-5.402000000000001
Retail (Distributors),253,58.94799999999999,92.35000000000001,363.546,271.19599999999997,0.04719527664375377,3940.5370000000003,3432.0620000000004,-508.4749999999999,-0.06278495398507114,44.09999999999995
Retail (General),11,0.64,0.59,1.406,0.816,0.001472573321879985,66.60699999999999,124.99300000000001,58.386000000000024,0.07082808667360564,53.954999999999984
Retail (Grocery and Food),8,0,0,28.69,28.69,0.015393125620030701,35.492000000000004,7.5009999999999994,-27.991000000000007,-0.3059794490599038,-0.7430000000000021
Retail (Special Lines),43,32.032,56.206,198.95600000000002,142.75,0.06018526521359128,503.418,626.8,123.38199999999995,0.03334183665196961,554.8729999999994
Rubber& Tires,16,96.523,0,10.242,10.242,0.001988043785878251,859.92,384.26599999999996,-475.654,-0.20772767530382621,17.725000000000023
Semiconductor,8,0.10500000000000001,0,3.674,3.674,0.0470181725108779,0.379,8.358,7.979000000000001,0.28904184024633217,1.293
Semiconductor Equip,1,0,0,0.252,0.252,0.002437137330754352,5.03,36.6,31.57,0.5415094339622641,0.568
Shipbuilding & Marine,23,43.012,2.24,345.46299999999997,343.22299999999996,0.04663387658883551,710.9050000000002,1126.934,416.02899999999977,0.05483358639378313,-232.59900000000005
Shoe,12,29.012999999999998,0,3.2020000000000004,3.2020000000000004,0.005174974585735367,45.659,6.2330000000000005,-39.426,-0.14230644288034655,16.787999999999997
Software (Entertainment),5,30.84,0,63.413999999999994,63.413999999999994,0.028722059922549083,11,1.525,-9.475,-0.14020420242675347,17.323999999999998
