Industry_Name,Number_of_Firms,Goodwill_in_millions_,Change_in_Goodwill_in_last_year,Goodwill_as_of_Total_Assets,Impairment_of_Goodwill_in_LTM_in_millioins,Impairment_as_of_Goodwill
Software (Entertainment),5,58.54,-45.82999999999999,0.016566678901595796,0,0
Software (System & Application),73,558.5479999999999,161.64099999999996,0.09553265439426978,22.520000000000003,0.04031882667201388
Steel,168,892.106,87.44500000000005,0.0076495476070307785,54.505,0.06109699968389407
Telecom (Wireless),3,3742.9,3561.4,0.04599434240956335,0,0
Telecom. Equipment,21,52.3,-17.11,0.013517390394123682,0,0
Telecom. Services,14,47.85,32.03,0.004178229199229494,0,0
Tobacco,6,93.8,-2,0.00826595143568473,0,0
Transportation,48,477.56899999999996,30.674999999999955,0.06255023761071922,3.04,0.006365572304735024
Trucking,12,0.427,-0.065,0.0010037611659614479,0.137,0.32084309133489464
Total Market,4446,56992.14399999999,9903.042999999961,0.008773250866941633,796.6320000000001,0.013977926501589414
Total Market (without financials),3850,55024.342,9753.799999999967,0.028773529085041872,738.354,0.013418679318327879
