Industry_Name,Number_of_Firms,Beta,Cost_of_Equity,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,D_D_E_,Cost_of_Capital,Cost_of_Capital_Euros_
Retail (Automotive),28,1.2408503375379711,0.1118860848809865,0.6326929218114763,0.3753704510658482,0.060454999999999995,0.13157490928601703,0.0455165695,0.3673070781885237,0.08750809210560807,0.0716705956186332
Retail (Building Supply),29,1.2555264223300098,0.11275050627523758,0.5930285050673487,0.28071281493731903,0.060454999999999995,0.19717956850228402,0.0455165695,0.4069714949326513,0.08538821051561178,0.06958158609062703
Retail (Distributors),116,0.9874117005822514,0.09695854916429461,0.6584879516647304,0.2734625824175198,0.060454999999999995,0.1658335675207312,0.0455165695,0.3415120483352696,0.07939049331872007,0.0636712142898066
Retail (General),32,1.083615303031824,0.10262494134857444,0.7172141416707789,0.35902674130694007,0.060454999999999995,0.09569396444322185,0.0455165695,0.2827858583292211,0.086475501397591,0.07065304263937366
Retail (Grocery and Food),32,1.073982711190173,0.10205758168910119,0.614434906863981,0.2973656097119066,0.060454999999999995,0.16556934842536192,0.0455165695,0.38556509313601905,0.0802573410584056,0.06452543803328292
Retail (REITs),33,0.960746998690458,0.09538799822286798,0.4095594268349766,0.21209722687273572,0.054643,0.042197142709291834,0.0411407147,0.5904405731650234,0.06335820104698028,0.04787240200260667
Retail (Special Lines),111,1.5260199648902262,0.1286825759320343,0.8247167891651246,0.3770029801448185,0.060454999999999995,0.10549003076138613,0.0455165695,0.1752832108348754,0.11410497129231342,0.09788014161329905
Rubber& Tires,8,1.0967762951201412,0.10340012378257632,0.6955732735368403,0.27450562055262784,0.060454999999999995,0.1492611595385358,0.0455165695,0.3044267264631597,0.08577882283627901,0.06996650988235253
Semiconductor,40,1.4028368020266158,0.12142708763936767,0.8776918834482479,0.4451812160577769,0.060454999999999995,0.04565675525877243,0.0455165695,0.12230811655175211,0.11214261513927401,0.0959463634624882
Semiconductor Equip,22,1.7327199822089587,0.14085720695210768,0.9776722290677915,0.34686166765591364,0.060454999999999995,0.11851777704671926,0.0455165695,0.0223277709322085,0.1387284630385463,0.1221450388195382
Shipbuilding & Marine,62,0.9209586428220383,0.09304446406221806,0.728242542700684,0.3401879928153725,0.060454999999999995,0.08624458968434004,0.0455165695,0.271757457299316,0.08012840428519968,0.06439837898007528
Shoe,10,1.265248696016497,0.11332314819537168,0.7982944491451972,0.31283775149323445,0.060454999999999995,0.13388795632262263,0.0455165695,0.2017055508548028,0.0996461848880422,0.08363192005957543
Software (Entertainment),56,1.2950431993104936,0.11507804443938807,0.9198465039382369,0.43415402335725556,0.060454999999999995,0.07873061919551558,0.0455165695,0.08015349606176314,0.10950244903178338,0.09334464637598061
Software (Internet),28,1.2218335144293462,0.1107659939998885,0.763385834795199,0.4100785743981639,0.060454999999999995,0.08375136200617288,0.0455165695,0.23661416520480105,0.09532705589175369,0.07937569100012598
Software (System & Application),339,1.0812033487059913,0.1024828772387829,0.930651064077212,0.3915535104218756,0.060454999999999995,0.07885390997249406,0.0455165695,0.06934893592278801,0.09853232441364823,0.08253428085422598
Steel,59,1.0390117122502491,0.09999778985153968,0.6891704018708706,0.3434296413653913,0.060454999999999995,0.12835856670190565,0.0455165695,0.31082959812912936,0.08306341402408605,0.0672906458586866
Telecom (Wireless),12,0.7434425442405793,0.08258876585577013,0.3585002076717797,0.26470063790883314,0.060454999999999995,0.19421470338822303,0.0455165695,0.6414997923282203,0.058806959592392585,0.04338744076337697
Telecom. Equipment,54,0.9327599212168725,0.09373955935967379,0.8082570078890586,0.33319520112261086,0.060454999999999995,0.0801537296343256,0.0455165695,0.19174299211094137,0.08449313899544436,0.06869954959259794
Telecom. Services,64,0.8493025485157498,0.08882392010757767,0.47169516440431514,0.26207860927865606,0.060454999999999995,0.12245939952883556,0.0455165695,0.5283048355956849,0.06594443736475666,0.050420974684687314
Tobacco,6,0.5521081872089911,0.07131917222660958,0.5727855560645556,0.18281710440540047,0.054643,0.17671211228109826,0.0411407147,0.4272144439354444,0.058426499275549645,0.04301252113075993
Transportation,59,0.9435413095451561,0.0943745831322097,0.5990893781099385,0.30362009528384304,0.060454999999999995,0.15447321046423965,0.0455165695,0.40091062189006155,0.0747868865026074,0.0591346502914043
Transportation (Railroads),7,0.9103890615944515,0.0924219157279132,0.5486983679943902,0.17036545746591236,0.054643,0.16260038342080962,0.0411407147,0.4513016320056098,0.06927862601280821,0.05370660718737885
Trucking,6,1.0898056173084412,0.10298955085946719,0.6359882239038943,0.26775426645043926,0.060454999999999995,0.21633647512822854,0.0455165695,0.3640117760961057,0.08206870883726916,0.06631042666973608
Utility (General),16,0.8869794703920545,0.09104309080609202,0.4772197380014678,0.19193813872527388,0.054643,0.1961296789313186,0.0411407147,0.5227802619985322,0.06495511355099994,0.049446058499286405
Utility (Water),12,0.7619072471822499,0.08367633685903453,0.475714128917309,0.2555760632140642,0.060454999999999995,0.09589754359406201,0.0455165695,0.524285871082691,0.06366970998889027,0.04817937440652775
Total Market,6971,1.0048847843564543,0.09798771379859517,0.5489355800772314,0.33261428375139857,0.060454999999999995,0.11569402250988077,0.0455165695,0.4510644199227686,0.07431984753286545,0.0586744128600567
Total Market (without financials),6149,1.0163277560226116,0.09866170482973183,0.7339379489944093,0.3395466680004999,0.060454999999999995,0.11402158700273608,0.0455165695,0.26606205100559066,0.0845218011229337,0.06872779431046361
