Industry_Name,Number_of_firms,Average_Company_Age_years_,Market_Cap_millions_,Book_Equity_millions_,Enteprise_Value_millions_,Invested_Capital_millions_,Total_Debt_including_leases_millions_,Revenues_millions_,Gross_Profit_millions_,EBITDA_millions_,EBIT_Operating_Income_millions_,Net_Income_millions_
Retail (Building Supply),29,50.57142857142857,18151.100000000002,16147.3,28320.45632733721,22249.95332733721,12456.36632733721,47867.00000000001,17946.899999999994,2966.939,2099.6097345325584,869.9100000000001
Retail (Distributors),116,60.873873873873876,204755.3709999999,67342.12000000001,299127.8244892678,150948.03448926797,106192.41548926792,225094.12799999988,64173.84499999999,24142.444000000014,19754.4701021464,12704.133
Retail (General),32,39.16129032258065,133087.27200000003,59113.91300000002,176390.55541318996,90871.05641318996,52474.14441318994,141224.652,32877.941,6580.106,3828.9081173620084,14080.437
Retail (Grocery and Food),32,60.8,140386.84,62126.236,210803.99466954469,117088.7726695447,88094.38466954467,422959.912,84490.37599999999,22564.671999999995,15908.785066091063,3108.058000000001
Retail (REITs),33,28.956521739130434,40687.03999999999,52660.93000000001,92322.03827136886,111476.64827136887,58656.39427136887,7989.873,5523.529,4469.539999999999,4532.801945726228,110.75900000000001
Retail (Special Lines),111,33.65,227709.7339999999,48275.091,254736.65127355186,66335.02435323899,48396.848273551834,191257.00600000002,77854.71099999998,15432.231000000002,11014.175545289638,5406.314
Rubber& Tires,8,93.75,34220.799999999996,24775.7,44657.47999999999,35098.31,14977.180000000002,44386.3,14435.599999999999,7301.2,5069.3,2853.7099999999996
Semiconductor,40,22.81081081081081,177255.27800000002,39663.741,190716.2549362917,44238.7150047217,24700.876936291683,57145.04000000001,26939.290999999997,19013.588000000003,12670.110212741665,9652.688
Semiconductor Equip,22,35.90909090909091,359046.77,16381.842999999999,358911.02822872275,17770.12117229162,8199.797228722835,39018.405,18873.849999999995,12521.379000000003,11288.290554255433,9999.178000000002
Shipbuilding & Marine,62,57.14754098360656,124776.89099999999,116165.52999999998,147580.67722486422,129669.62022486427,46562.85322486427,145670.396,44523.13299999999,31642.09500000001,25234.716355027147,24232.782
Shoe,10,84.33333333333333,29746.979999999996,5561.76,35802.13078458458,12658.99778458457,7516.187784584573,18340,9208.17,1942.6299999999999,1518.8644430830857,727.0500000000001
Software (Entertainment),56,17.096153846153847,50236.968000000015,14732.377999999997,53649.370078825246,14246.253008628153,4377.544078825238,7667.148999999998,4798.518,2341.423999999999,1783.490784234953,-1127.1990000000003
Software (Internet),28,19.73076923076923,6112.747,409.985,7840.538758540714,943.6477585407155,1894.6677585407149,3372.895,1676.9160000000002,733.2970000000004,265.8650482918569,134.356
Software (System & Application),339,21.164556962025316,348108.3810000002,72085.24700000005,354119.0765654701,36296.241294105115,25939.846565470223,71003.71899999997,44286.693,11139.617000000004,8694.978886905961,6548.025999999999
Steel,59,69.47368421052632,76575.02000000002,119553.40400000001,85948.19046229735,131706.63846229736,34536.86146229733,208516.748,27378.796999999995,13218.945999999998,7052.895307540532,3583.739
Telecom (Wireless),12,20.75,51892.05900000001,73536.42000000001,133441.398,126065.28999999998,92855.581,72608.541,27460.438,19252.35,8680.029999999999,13093.53
Telecom. Equipment,54,33.27450980392157,47028.55399999999,34389.55899999999,50080.71746264734,25643.487462647347,11156.594462647337,58451.89000000001,22913.873000000003,6495.832,4614.365307470533,1973.5370000000003
Telecom. Services,64,35.916666666666664,379983.3939999999,219608.962,772426.0162698745,583777.9342698746,425586.4372698747,346076.01700000005,159710.31200000003,104656.763,51324.251746025075,34695.597000000016
Tobacco,6,186.66666666666666,89787.67000000001,99469.83,149821.567,147151.49700000003,66968.49999999999,61482.7,38945.67,23438.014,21748.44,14414.46
Transportation,59,71.28070175438596,151787.68699999998,65876.83600000001,231416.33968896093,169730.47368896092,101576.3226889609,218187.83600000004,43146.073,24333.310999999998,14123.696862207817,8601.602000000003
Transportation (Railroads),7,59,7454.900000000001,6332.2,11333.024538313908,11861.224538313909,6131.617538313909,8311.718,596.936,1500.7529999999997,680.7964923372185,313.63
Trucking,6,28.833333333333332,2575.04,1174.66,3855.99,2340.26,1473.8400000000001,6238,816.1600000000001,478.24300000000005,322.457,214.567
Utility (General),16,76.5,187938.2,128551.79999999999,345624.369,240448.089,205880.79999999996,408835.60000000003,144298.1,50494.9,34736.47,11658.599999999999
Utility (Water),12,32.09090909090909,22628.930000000008,7383.92,46777.017,30046.737,24939.407000000007,6678.05,3826.2550000000006,2431.1839999999993,1209.658,62.58099999999999
Total Market,6971,45.65908387496131,18630603.47500004,8681886.376999995,28502074.589478914,18053363.21818075,15308904.458478862,14188088.722000001,5187179.338999993,2184186.971999995,1643795.3295042196,1210048.328000001
Total Market (without financials),6149,44.37057566694813,15800295.949000036,6208198.844999995,20118567.632440988,9742689.56680682,5727812.7564409375,12467815.66,4106823.8199999933,2042367.0689999948,1503467.9585118042,842330.4800000009
