Industry_Name,Number_of_Firms,Dividends_in_millions,Buybacks_in_millions,Equity_Issuance_in_millions,Net_Equity_Change_in_millions,Net_Equity_Change_as_of_Book_Equity,Debt_Repaid_in_millions,Debt_Raised_in_millions,Net_Debt_Change_in_millions,Net_Change_in_Debt_as_of_Total_Debt,Change_in_Lease_Debt_in_millions
Real Estate (Development),66,677.24422,90.05099999999999,208.473,118.42200000000003,0.008802803290923204,3259.862,3318.3800000000006,58.518000000000484,0.004547376430807653,-20.93799999999993
Real Estate (General/Diversified),48,397.19034000000005,85.507,64.87400000000001,-20.632999999999996,-0.0015078623258043744,2990.239,2933.331,-56.9079999999999,-0.0028376867417828186,33.40199999999999
Real Estate (Operations & Services),237,5069.030739999998,737.025,2766.6949999999997,2029.6699999999996,0.008173235069061313,53177.983,47881.808999999994,-5296.174000000006,-0.019336478632952965,-93.6850000000004
Recreation,60,609.3025,21.614,156.382,134.768,0.01891796930546566,1112.1060000000002,982.7090000000001,-129.39700000000016,-0.01867361984102236,-13.48800000000017
Reinsurance,4,2512.67,14.8,6.35,-8.450000000000001,-0.0002065514704264738,188.39999999999998,1111.8999999999999,923.4999999999999,0.037451588701664734,-26.24000000000001
Restaurant/Dining,43,1389.4606000000003,1575.734,47.443999999999996,-1528.29,-0.04399336770382652,5561.139999999999,2486.312999999999,-3074.827,-0.08664491939991115,2426.129000000001
Retail (Automotive),28,363.55,28.665,158.782,130.11700000000002,0.020502069634902857,4994.378999999999,5015.058,20.679000000000997,0.003328791706078751,-19.298999999999978
Retail (Building Supply),29,706.1831999999999,375.75800000000004,111.591,-264.16700000000003,-0.016359824862360893,2258.7940000000003,505.64599999999996,-1753.1480000000004,-0.14141004483118536,249.73199999999974
Retail (Distributors),116,3976.765610000001,3844.9679999999994,1991.0660000000003,-1853.9019999999991,-0.027529605542563836,17978.147999999997,18702.122,723.974000000002,0.006922594751302897,1155.2960000000057
Retail (General),32,1033.9,11292.87,174.165,-11118.705,-0.18808947734520629,4887.399,1801.1850000000002,-3086.214,-0.05908669711035161,612.4650000000006
Retail (Grocery and Food),32,3881.7874,2453.4220000000005,735.903,-1717.5190000000005,-0.02764563106639843,13496.757,10563.586,-2933.1710000000003,-0.03330349288765496,1751.9940000000006
Retail (REITs),33,1343.5240000000001,34.955,63.736000000000004,28.781000000000006,0.0005465342142647311,7609.078,7747.048999999999,137.97099999999864,0.00235219068396713,-34.80599999999998
Retail (Special Lines),111,1639.5862600000003,574.8090000000001,463.1089999999999,-111.70000000000016,-0.0023138226709919648,9394.986999999997,3830.548000000001,-5564.438999999997,-0.11524131271452519,7692.358
Rubber& Tires,8,1321.15,83.012,83,-0.012000000000000455,-4.843455482589979e-07,3424.91,2941.1,-483.80999999999995,-0.03230314384950971,244.18399999999997
Semiconductor,40,1875.5752999999997,1524.223,491.92299999999994,-1032.3,-0.02602628935077001,1832.8150000000003,1428.137,-404.67800000000034,-0.016729612482333647,162.02800000000025
Semiconductor Equip,22,2957.2050000000004,1789.9650000000001,161.36200000000002,-1628.603,-0.09941512685721626,1116.4890000000003,1969.1659999999997,852.6769999999995,0.10632611962166977,105.793
Shipbuilding & Marine,62,26851.676999999996,4216.597,280.432,-3936.165,-0.03388410486312076,14636.823999999999,6225.839999999998,-8410.984,-0.18244678941520276,3708.6010000000024
Shoe,10,201.32639999999998,24.9,127.86,102.96000000000001,0.018512125658065072,702.2,179.2,-523,-0.07145872814394494,198.70000000000005
Software (Entertainment),56,316.7462,486.98699999999997,62.98999999999999,-423.99699999999996,-0.028779943061466386,1250.0389999999998,973.93,-276.1089999999998,-0.06414094472513093,25.880999999999986
Software (Internet),28,29.04,18.494999999999997,7.760999999999999,-10.733999999999998,-0.02618144566264619,259.291,239.01000000000002,-20.280999999999977,-0.010737772487985449,47.38599999999997
Software (System & Application),339,3863.4096599999993,2261.6459999999997,721.3740000000001,-1540.2719999999995,-0.021367367999723972,7975.275999999998,3414.3889999999997,-4560.886999999999,-0.17647851138061127,207.26000000000056
Steel,59,2324.1175000000003,1723.106,644.847,-1078.259,-0.009019057290915782,10879.984000000002,9910.308,-969.6760000000013,-0.028332949054974774,621.2000000000007
Telecom (Wireless),12,3517.0777,826.35,122.318,-704.032,-0.009573922690280543,18543.793999999998,7881.5,-10662.293999999998,-0.1148266359994021,10.089999999999996
Telecom. Equipment,54,1485.1921200000002,404.18100000000004,362.211,-41.97000000000003,-0.0012204285608896598,3662.089,2222.024,-1440.065,-0.12936856347456063,45.979999999999905
Telecom. Services,64,15730.46868,2496.316,83.67199999999998,-2412.644,-0.010986090813543391,67813.31000000001,55749.76800000001,-12063.542000000001,-0.0283556296985642,787.8350000000028
Tobacco,6,8269.5,2377.45,0,-2377.45,-0.023901217082606854,6018.413,4610.592999999999,-1407.8200000000006,-0.02102212234110068,20.27000000000001
Transportation,59,4097.576730000001,3856.858999999999,297.706,-3559.152999999999,-0.054027382250112894,9363.602999999996,5711.381000000001,-3652.2219999999943,-0.0359728225495149,2092.7789999999986
Transportation (Railroads),7,179.6825,133.303,19.740000000000002,-113.56299999999999,-0.017934209279555288,842.0850000000002,147.70999999999998,-694.3750000000002,-0.15702736318407962,32.036
Trucking,6,56.753,52.454,1.95,-50.504,-0.04299456864113871,397.221,309.128,-88.09300000000002,-0.05977107420072736,41.99999999999997
Utility (General),16,10993.632,1512.62,467.04999999999995,-1045.57,-0.008133452818241363,42577.06,33776.310000000005,-8800.749999999993,-0.042746822433174896,1046.0099999999998
Utility (Water),12,885.2567600000001,12.690000000000001,17.954,5.263999999999999,0.000712900464793768,2099.199,3797.775,1698.576,0.06810811500048897,16.73399999999998
Total Market,6971,538122.6127640003,222169.60299999928,82262.25700000009,-139907.3459999992,-0.016114855680516734,1760277.3350000065,1521868.2690000003,-238409.06600000616,-0.015608975989764592,93218.90300000139
Total Market (without financials),6149,434142.17029400036,190801.42899999928,74600.71900000008,-116200.70999999919,-0.018717298350323583,1231000.7770000065,1066792.0530000003,-164208.72400000622,-0.028833405252733615,93274.8210000014
