Industry_Name,Number_of_Firms,Goodwill_in_millions_,Change_in_Goodwill_in_last_year,Goodwill_as_of_Total_Assets,Impairment_of_Goodwill_in_LTM_in_millioins,Impairment_as_of_Goodwill
Retail (Grocery and Food),32,18470.403,-9769.145,0.0696307289694208,136.90800000000002,0.007412290895872712
Retail (REITs),33,1567.5500000000002,-73.5,0.012096080015081228,139.97,0.08929220758508499
Retail (Special Lines),111,14073.428,1390.2829999999976,0.09058371962245405,398.46999999999997,0.028313641850443258
Rubber& Tires,8,2910.9700000000003,184.23000000000047,0.04986971381581765,0,0
Semiconductor,40,17640.935999999998,372.2049999999981,0.1913625440061684,309.75,0.01755859212912512
Semiconductor Equip,22,5374.740999999999,694.143,0.09240726419710464,79.7,0.014828621509389944
Shipbuilding & Marine,62,5849.762999999999,593.6189999999997,0.030475809172027277,59.417,0.010157163632099285
Shoe,10,2077.543,1751.7050000000002,0.10041921435372937,0,0
Software (Entertainment),56,3060.1050000000005,1390.3550000000007,0.14044637374627802,1593.9679999999998,0.5208867016001084
Software (Internet),28,1334.9490000000003,113.95200000000023,0.4257546430556765,3.8,0.0028465506921987274
Software (System & Application),339,47540.717,-3838.6609999999782,0.34930166216737524,497.6449999999999,0.010467763874911688
Steel,59,3270.85,222.16399999999976,0.014082801196322303,13.635,0.0041686411788984514
Telecom (Wireless),12,40577.615000000005,-704.1349999999948,0.19248737575284044,24.5,0.0006037811734376207
Telecom. Equipment,54,12159.075000000003,-3382.7319999999963,0.1562873757366214,3089.0710000000004,0.25405476979128755
Telecom. Services,64,105635.83,6479.287000000011,0.11610022544269824,2645.2419999999997,0.025041143710424766
Tobacco,6,15688.97,856.6299999999992,0.06955116823931783,0,0
Transportation,101,49685.457999999984,-0.2540000000153668,0.10697826033606195,114.718,0.0023088848250125828
Transportation (Railroads),7,121.5,18.542,0.00753516409912927,-2.96,-0.024362139917695473
Trucking,6,317.64000000000004,34.182000000000016,0.07429410774095767,0,0
Utility (General),16,59393.78000000001,1121.080000000009,0.09311208796721612,-0.03799999999999998,-6.397976353752863e-07
Utility (Water),12,337.56,49.650000000000034,0.007917197317778514,0,0
Total Market,6971,2076169.9199999992,65497.593999999575,0.03287227181254444,695.8830000000028,0.00033517632314025773
Total Market (without financials),6134,1863307.4819999991,51075.12999999942,0.09966436087249878,28599.289,0.015348668577932547
