Industry_Name,Number_of_firms,PBV,ROE,EV_Invested_Capital,ROIC
Advertising,89,2.062408225244853,0.11317961278612022,5.727123465740411,0.36748569348028204
Aerospace/Defense,61,4.903719993153085,0.20830393868510866,3.4309995896702,0.1422896133760724
Air Transport,34,2.105900191243728,0.3311675705660618,1.4607719723263215,0.14384837044740345
Apparel,110,4.759318192625732,0.2702559549074027,4.394781351228728,0.3559103880795961
Auto & Truck,31,0.9476561184017424,0.20479915489952027,0.8714626282099097,0.12430080588676344
Auto Parts,59,1.4432933764953328,0.09953256768890487,1.096036155886841,0.09288077409127149
Bank (Money Center),112,0.7537488096677203,0.1506152967865152,0.9263122778587327,-5.17243782949191e-07
Banks (Regional),72,0.6865599695094556,0.07332326196605254,0.8526779969340351,2.806938756766444e-06
Beverage (Alcoholic),55,2.0906295116854805,0.14082640565702131,1.6420399408251631,0.10664247832164638
Beverage (Soft),15,3.5114129349045453,0.22426686201335835,2.6713962155305975,0.1580449419065603
Broadcasting,22,0.7826917783767137,-0.012071612940744917,1.3367143861902626,0.11150045637594096
Brokerage & Investment Banking,74,2.4073051560340915,0.207366683936121,1.4827558271968488,0.011552868206791262
Building Materials,89,3.1337410800344507,0.16354723763806828,3.9129815035284596,0.24518039765647934
Business & Consumer Services,194,4.145688766766198,0.16236650186346221,5.09173524081646,0.2550136575637335
Cable TV,3,0.6011559117799405,0.04255452888302219,1.2070754332542726,0.10211764063109656
Chemical (Basic),61,1.5673889369176472,0.06382742677759927,1.4185434562908377,0.04914523589438025
Chemical (Diversified),7,0.9245549448407593,-0.006751986078879278,0.8994773758827505,0.06206756589438917
Chemical (Specialty),102,3.068177624784179,0.10978453473139,2.841109307363527,0.1229978240943353
Coal & Related Energy,16,0.9755053271503412,0.0024943705602070093,0.9774402057310502,0.02104208521850121
Computer Services,226,4.707852529268821,0.18183345518163901,8.561232313655935,0.45946444164693556
Computers/Peripherals,43,6.890587552017564,-0.06302838267122245,3.960850956262038,0.03781868209944789
Construction Supplies,123,1.6240667295852975,0.14754177267429278,1.4937200441263945,0.13051139699714823
Diversified,70,1.3618758348600024,0.18715214582159032,1.3487074914269068,0.12813780254744966
Drugs (Biotechnology),233,3.4903413797788962,-0.17516032315537092,1.942813074971936,-0.07701927187171966
Drugs (Pharmaceutical),131,4.634740196600886,0.17272432583955835,2.881207660964241,0.1674482070071209
Education,21,1.7147106419502274,0.06793599996899287,2.0015710254465713,0.11953355002394311
Electrical Equipment,157,4.080550146175372,0.07409670578845434,5.0816441160372445,0.17020791542664096
Electronics (Consumer & Office),21,3.233517103605068,0.13056508771667213,2.604306936375757,0.12775566520362303
Electronics (General),151,3.2914080225555824,0.12868034637450662,2.743960188663019,0.12395944412639137
Engineering/Construction,162,1.8038727197100706,0.1492632653029416,1.8481108571133231,0.136541544730237
Entertainment,200,2.3340325831506066,0.08556493216483217,2.4414391499600185,0.058413601296601676
Environmental & Waste Services,52,2.2626913682492233,0.06124057080811003,2.115762012614344,0.1261071737836684
Farming/Agriculture,50,1.6164941227320129,0.20017292463953137,1.3031280719784069,0.1224819129153687
Financial Svcs. (Non-bank & Insurance),143,1.013991457928007,0.2024107812195776,1.0404349824613353,0.00883898394569807
Food Processing,169,3.2026217892134023,0.1352372779244658,2.8455505171578257,0.15562733505676138
Food Wholesalers,14,3.67845403648185,-0.26993249024159516,1.6124406799117421,0.106262654808176
Furn/Home Furnishings,52,1.7987293206504993,0.059769957366573874,1.6529924754519199,0.09722482291361761
Green & Renewable Energy,66,1.6345472787502682,0.07716887402372646,1.376203569686493,0.06944218837057788
Healthcare Products,182,2.6454855184073076,0.06506707639020116,2.9567410497280946,0.10554181284539528
Healthcare Support Services,45,0.9521242820938977,0.03567645222217388,1.6260447027977907,0.14465151757557773
Heathcare Information and Technology,95,3.3685097949662506,0.07904200190605616,3.9873339824756906,0.12675624225251284
Homebuilding,43,1.090057080617271,0.10531472971894548,1.1697126668739828,0.15026497196875452
Hospitals/Healthcare Facilities,29,1.5894314757711836,-0.29080286457323634,1.43625737489561,0.023734678854194988
Hotel/Gaming,106,3.2992488145462855,0.0987503609062583,3.2966279329751558,0.16697863166326946
Household Products,70,4.916863761002192,0.1966143607068829,4.262255551393609,0.1890962563380366
Information Services,6,2.278835453100159,0.08778554833815368,3.2430318022836566,0.2279590256637294
Insurance (General),36,1.5922139766833368,0.16714965025928755,1.699505048801668,0.20472241437790747
Insurance (Life),16,1.3141094432069365,0.05015121371538442,1.137255262079339,0.09459336208084479
Insurance (Prop/Cas.),19,1.8848230012394955,0.1281264910533439,2.105434944658439,0.1437933888692453
Investments & Asset Management,350,1.6370178327793523,0.12017777981637583,1.6241527312482125,0.10433595838617443
Machinery,219,3.799429836607606,0.1869206071324343,3.494214384542357,0.19131299038799104
Metals & Mining,120,1.6558552206596988,0.13905837086811226,1.5338681865500707,0.19461429498953833
Office Equipment & Services,22,1.4722039833393623,0.10688588526240267,1.759785034642959,0.13591437895689318
Oil/Gas (Integrated),12,1.1557473334871269,0.20327921983790714,1.155646095616574,0.20210530028592938
Oil/Gas (Production and Exploration),91,1.2579379434843416,0.02089409002547315,1.6167364247874905,0.4162672254352348
Oil/Gas Distribution,29,1.58436081753371,0.28066218954228717,1.3369382822379978,0.13297882282251836
Oilfield Svcs/Equip.,67,1.2009279438529725,0.21645459560963537,1.2127869833569984,0.22530782942562555
Packaging & Container,44,2.042195161044093,0.13824482388892348,1.819362091791285,0.13295350699272043
Paper/Forest Products,38,1.280128414040927,0.08895414731549182,1.2775341095267647,0.07489867290867969
