Industry_Name,Number_of_Firms,Goodwill_in_millions_,Change_in_Goodwill_in_last_year,Goodwill_as_of_Total_Assets,Impairment_of_Goodwill_in_LTM_in_millioins,Impairment_as_of_Goodwill
Software (System & Application),189,5511.526000000002,-679.7489999999971,0.05223456550031031,583.6390000000001,0.10589426594376947
Steel,111,880.422,-30.159999999999968,0.002232069041311766,45.908,0.05214317679476433
Telecom (Wireless),8,275.137,-5.643000000000029,0.0007598383206379244,0,0
Telecom. Equipment,125,2028.9019999999996,-82.5280000000007,0.018299236094005786,138.10999999999999,0.06807130162028527
Telecom. Services,16,8850.594000000001,-264.3719999999994,0.06559809963571411,160.962,0.018186575951851365
Tobacco,2,2.1,-2.2099999999999995,0.008036739380022962,2.11,1.0047619047619047
Transportation,141,4387.916,803.159000000001,0.014648089080139952,171.40799999999996,0.03906364661493063
Transportation (Railroads),10,403.3,-49.39999999999998,0.0032468970114539067,38.1,0.09447061740639723
Trucking,7,124.005,-1.516999999999996,0.029683310991957108,4.1,0.03306318293617193
Utility (General),4,1.49,-0.040000000000000036,0.0002974942597584107,0,0
Utility (Water),38,1178.812,-76.12300000000005,0.011043824744492359,2.713,0.0023014696151718852
Total Market,7504,305221.546,-13541.749999999767,0.004440753284399866,16840.532000000003,0.055174781140778326
Total Market (without financials),7161,283762.633,-13152.479999999749,0.012988163351052434,16067.621999999998,0.05662345965051713
