Industry_Name,Number_of_Firms,Beta,ROE,Cost_of_Equity,_ROE_COE_,BV_of_Equity,Equity_EVA,ROC,Cost_of_Capital,_ROC_WACC_,BV_of_Capital,EVA,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Std_Dev_in_Stock2,After_tax_Cost_of_Debt,D_D_E_
Semiconductor,21,2.0799231891256103,0.14354313540528918,0.15589967554777187,-0.012356540142482692,24170.399999999994,-298.66251785986356,0.16050911598134815,0.1393946780703795,0.021114437910968648,23894.671445364394,504.522556636142,0.8568196950568526,0.32782629243096467,0.058554999999999996,0.32782629243096467,0.040625458999999996,0.1431803049431474
Semiconductor Equip,36,2.359767894827367,0.20504105614843537,0.17165493247878078,0.0333861236696546,28236.940000000002,942.7219708926168,0.19824412734356672,0.16846646411576988,0.029777663227796847,27837.14348805712,828.925084011223,0.9756660217097856,0.3143246162136434,0.058554999999999996,0.3143246162136434,0.040625458999999996,0.024333978290214414
Shipbuilding & Marine,29,1.0211506757701603,0.14148826123457264,0.09629078304586003,0.045197478188712614,51815.5,2341.9299310872384,0.042969352497664266,0.07655584280490241,-0.03358649030723814,70252.56029674444,-2359.5369354652703,0.6694186934531356,0.21025341873489234,0.052743,0.21025341873489234,0.0365930934,0.3305813065468644
Shoe,3,1.3663029466545527,0.16982139376896732,0.11572285589665132,0.054098537872316,1436.68,77.72228739039895,0.14320928254219356,0.10521326878393274,0.037996013758260824,1895.0273964527373,72.0034870278994,0.8671854081052836,0.1815886482679323,0.052743,0.1815886482679323,0.0365930934,0.13281459189471642
Software (Entertainment),73,1.4153890080971834,0.08464985659490713,0.11848640115587143,-0.0338365445609643,21712.61800000001,-734.6799664921958,0.10476179656644605,0.0976038256122245,0.007157970954221549,11849.535757180001,84.81863277090409,0.7317965212668289,0.3035239798989105,0.058554999999999996,0.3035239798989105,0.040625458999999996,0.26820347873317113
Software (Internet),26,1.545976217545948,0.07942953076754349,0.12583846104783686,-0.04640893028029337,1185.34,-55.01036141844294,0.23598463973914674,0.0913947521480088,0.14458988759113794,1106.300683409036,159.95989145611162,0.5957928007219832,0.3055385589593449,0.058554999999999996,0.3055385589593449,0.040625458999999996,0.40420719927801685
Software (System & Application),176,1.471066295218439,0.0925478132310998,0.12162103242079812,-0.029073219189698324,12142.663999999999,-353.02633201885897,0.2812943866200559,0.1197824104023872,0.16151197621766872,5599.571652222534,904.3978835228978,0.9772997221853262,0.2930843218882649,0.058554999999999996,0.2930843218882649,0.040625458999999996,0.022700277814673767
Steel,42,1.1963358593061786,0.11223352548263561,0.10615370887893785,0.00607981660369776,72565.09999999999,441.1824998289883,0.06535752470695748,0.07368465837350355,-0.008327133666546069,113169.14201421084,-942.3745724806682,0.5332265207563387,0.2020349147775202,0.052743,0.2020349147775202,0.0365930934,0.46677347924366136
Telecom (Wireless),7,1.1694905319096311,-0.04854058626470028,0.10464231694651224,-0.15318290321121253,130441.42,-19981.39541459312,0.05501818142716227,0.07028641598193994,-0.015268234554777667,216936.127,-3312.2316704410364,0.4951316242265461,0.2244565456807197,0.052743,0.2244565456807197,0.0365930934,0.5048683757734539
Telecom. Equipment,16,0.8878135172507612,0.023787401221935074,0.08878390102121786,-0.06499649979928279,2008.29,-130.53182058190163,0.027006047367461553,0.07976497267047485,-0.05275892530301329,1868.985574980988,-98.6056703428313,0.8271931636659244,0.20614394692902321,0.052743,0.20614394692902321,0.0365930934,0.17280683633407562
