Industry_Name,Number_of_firms,Lease_Debt_My_Estimate_,Conventional_Debt,Total_Debt_with_leases,Interest_expense,Book_interest_rate,Short_term_Debt_as_of_Total_Debt,Lease_Debt_Accounting_,Debt_Repaid_during_year,Debt_raised_during_year
Steel,718,2258.4796606407617,348260.20999999985,350518.6896606406,15168.13700000001,0.04355403392193445,0.30524322497657863,1236.9060000000002,188927.375,184545.6539999999
Telecom (Wireless),98,34862.70179392153,623393.8339999999,658256.5357939214,25956.200000000008,0.04163692129171751,0.08394217723757587,34342.56300000001,142668.01899999997,136727.891
Telecom. Equipment,453,3277.1294475611066,79208.77499999995,82485.90444756106,4091.602999999999,0.05165593079807132,0.17553870607973762,3483.296999999999,62565.673,61933.14400000001
Telecom. Services,288,50301.987671730574,1103040.464,1153342.4516717305,45719.351,0.0414484803523944,0.02150593398243183,49551.718,179831.3040000001,163783.36
Tobacco,56,722.6504319423693,151902.74699999997,152625.39743194234,5993.919000000001,0.03945892433400169,0.029673626330673195,112.881,25410.690999999995,40720.047
Transportation,443,34205.228154094424,379909.39999999973,414114.62815409416,14361.511000000004,0.037802462902997436,0.09656081054939507,33057.511,123680.59300000004,124790.67600000004
Transportation (Railroads),49,7927.545773364196,274624.3,282551.8457733642,7323.505000000002,0.02666735973473579,0.06012802196004016,2755.5,39557.80499999999,40245.869999999995
Trucking,106,3704.463238119948,46564.859000000004,50269.32223811995,2948.8019999999997,0.06332676750937868,0.10410775741088525,3675.363999999999,16373.475,17329.329000000005
Utility (General),50,2295.317069834273,519813.0799999999,522108.3970698342,20192.664999999997,0.038846011724060506,0.056780025707239,1002.41,104335.95000000001,112583.11000000003
Utility (Water),102,175.04131719200814,118012.12699999998,118187.16831719199,4649.428000000002,0.03939788323618642,0.056088573169686726,131.77400000000003,24394.49900000001,27995.990999999987
Total Market,47698,1319317.2303339243,67877897.54399943,69197214.77433336,1186713.020000006,0.01748305505825017,0.20921334140263198,1049314.7279999976,26569389.400000047,27445675.623000093
Total Market (without financials),42566,1207357.7555251867,28063001.31999942,29270359.075524606,1080785.996000006,0.03851284414221837,0.12452261096002966,981017.9719999976,18339751.34600004,18671412.178000096
