Industry_Name,Number_of_Firms,Goodwill_in_millions_,Change_in_Goodwill_in_last_year,Goodwill_as_of_Total_Assets,Impairment_of_Goodwill_in_LTM_in_millioins,Impairment_as_of_Goodwill
Real Estate (Development),17,22.674,22.674,0.001778811944415461,0,0
Real Estate (General/Diversified),11,51.46,31.200000000000003,0.008082299356054657,0,0
Real Estate (Operations & Services),60,19101.190000000002,-965.2599999999984,0.17577458643161603,526.2950000000001,0.0275529953892925
Recreation,55,15930.550000000001,-502.279999999997,0.19555667847069694,632.37,0.03969542796701934
Restaurant/Dining,64,21150.453999999994,824.1829999999973,0.11708665838234981,39.480000000000004,0.0018666265981808247
Retail (Automotive),30,14584.769999999999,-751.4000000000015,0.08750624088032292,1295.1000000000001,0.08879810926055058
Retail (Building Supply),16,8673.16,599.0100000000002,0.060981622181067015,109.1,0.01257903693694109
Retail (Distributors),62,29018.009999999995,2906.2500000000036,0.14516886580646796,60.459999999999994,0.0020835336399704875
Retail (General),26,68412.48,2703.4699999999866,0.06567779455797451,6.75,9.866620827077165e-05
Retail (Grocery and Food),14,6268.219999999999,-85.04000000000087,0.062483975835060844,160,0.02552558780642671
Retail (REITs),28,4153.3,0,0.01936879903932473,5.13,0.0012351624009823512
Retail (Special Lines),105,37719.89800000001,4218.680000000015,0.12314592928391188,2749.21,0.07288487365474847
Rubber& Tires,3,1015.03,15,0.04500882412933779,0,0
Semiconductor,63,173260.712,1059.6019999999844,0.24429315122537662,429.63,0.002479673522292809
Semiconductor Equip,30,16453.5,-1495.3999999999978,0.1482343236583188,1730.8,0.10519342389157321
Shipbuilding & Marine,8,769.61,3.1100000000000136,0.05933903374393365,0,0
Shoe,13,1789.8999999999996,-57.400000000000546,0.031733564995390394,428.7,0.2395105871836416
Software (Entertainment),84,69449.81599999999,-587.9309999999969,0.102497104537676,266.342,0.0038350281590378873
Software (Internet),35,21376.690000000002,-1219.7700000000004,0.33115155148928266,484.91,0.02268405445370635
Software (System & Application),351,325714.6920000003,8499.183000000427,0.2940981256220203,1753.3200000000002,0.005382993285424161
Steel,29,9909.59,247.6999999999989,0.07462326119101544,50.699999999999996,0.005116256071139169
Telecom (Wireless),13,13177.09,-131,0.055982006349625524,136.3,0.010343710181838328
Telecom. Equipment,66,59407.43600000001,950.9110000000001,0.3100591690034757,1656.43,0.027882536455537312
Telecom. Services,42,102267.98700000001,-36921.615000000034,0.11746713029088583,36924.805,0.36105927263435816
Tobacco,16,23656.326,11937.096,0.2234280943715304,724.838,0.030640345419656455
Transportation,36,26939.339999999997,685.869999999999,0.09460075706268577,195.2,0.0072459087713358985
Transportation (Railroads),4,275.4,-339.70000000000005,0.0018176526145091444,0,0
Trucking,22,8311.7,-267.59999999999854,0.08896531276524917,64,0.007699989171890226
Utility (General),14,18965.2,-3317,0.03397560553958658,0,0
Utility (Water),13,4187.41,13.519999999999527,0.07028202369583132,0,0
Total Market ,6481,4837922.196999994,84289.77499999665,0.07226280764435594,115858.75600000008,0.02394804035332448
Total Market (without financials),5214,4027904.8769999943,94809.46599999676,0.14929468460149625,91789.97000000007,0.022788514824204527
