Industry_Name,Number_of_firms,R_D_Capitalized_my_estimate_in_millions_,Capitalized_R_D_as_of_Invested_Capital,R_D_LTM_in_millions_,Current_R_D_as_of_Revenue,R_D_1_year_ago_in_millions_,R_D_2_years_ago_in_millions_,R_D_3_years_ago_in_millions_,R_D_4_years_ago,R_D_5_years_ago_in_millions_,CAGR_in_R_D_Last_5_years
Heathcare Information and Technology,128,30712.717999999997,0.24963885641892838,10296.697999999997,0.06632657875946026,10284.524,10222.784000000001,10138.849,9995.954,9968.153999999999,0.006506646839497421
Hospitals/Healthcare Facilities,32,4.096,4.6867539628360385e-05,1.3,9.371875087928916e-06,1.35,1.5,1.46,1.16,1.41,-0.016113848171171008
Hotel/Gaming,68,14626.004400000002,0.0658390057303922,5003.921999999999,0.025814895687004503,4938.557000000001,4783.0689999999995,4681.766,4643.445,4523.554,0.020389898182718635
Household Products,93,12084.589200000002,0.12106960657101078,4113.995999999999,0.019092922051529137,4144.5779999999995,3796.496,3785.0969999999998,4314.972,4027.4320000000002,0.004262230965954128
Information Services,18,2114.088,0.14733061468233374,717.96,0.019975308808909197,707.88,704.8000000000001,687.76,659.2,647.16,0.02098113253135314
Insurance (General),21,309.5,0.003389096535894292,102.91999999999999,0.0009707629808422396,101.82999999999998,102.92000000000002,105.10999999999999,106.6,105.39,-0.004731922517651865
Investments & Asset Management,334,2256.4646000000002,0.006059560673408307,733.412,0.005366596693020243,746.863,757.307,774.527,806.8360000000001,797.481,-0.01661057586926684
Machinery,103,11678.169999999998,0.11996426556498552,3969.051000000001,0.021220998995659223,3943.908999999999,3847.8020000000006,3812.1749999999993,3602.203000000001,3555.9750000000013,0.022222876946163206
Metals & Mining,68,289.5916,0.00499890099996295,98.93700000000001,0.001827650474653041,97.044,94.72000000000001,93.206,94.52499999999998,94.41699999999999,0.009396299067710112
Office Equipment & Services,17,1103.0104000000001,0.12011269029474804,371.73900000000003,0.0200464303625451,366.0180000000001,368.2300000000001,361.64700000000005,364.30100000000004,370.344,0.0007522211139818769
