Industry_Name,Number_of_Firms,Dividends_in_millions,Buybacks_in_millions,Equity_Issuance_in_millions,Net_Equity_Change_in_millions,Net_Equity_Change_as_of_Book_Equity,Debt_Repaid_in_millions,Debt_Raised_in_millions,Net_Debt_Change_in_millions,Net_Change_in_Debt_as_of_Total_Debt,Change_in_Lease_Debt_in_millions
Software (System & Application),351,26468.845,51669.897999999994,11749.601999999999,-39920.295999999995,-0.10034370228163846,35002.797,51147.364,16144.567000000003,0.05488130008798685,3688.9459999999744
Steel,29,1786.074,5389.966,91.786,-5298.18,-0.0821079548096146,11871.998,10170.9,-1701.098,-0.06710130767036973,1198.3240000000005
Telecom (Wireless),13,859.325,13665.25,0.358,-13664.892,-0.17106710702054062,9794.48,10286.731,492.2510000000002,0.005501078197961082,5121.293000000005
Telecom. Equipment,66,7386.130000000001,8288.054000000002,1380.4199999999998,-6907.634000000002,-0.10581115702665439,4510.117000000001,4751.235,241.11799999999857,0.005834099924259113,934.1389999999992
Telecom. Services,42,19163.33,682.0479999999999,201.67699999999994,-480.371,-0.002048433616772099,38484.861000000004,30558.152000000006,-7926.708999999999,-0.023700061886730163,722.176999999996
Tobacco,16,14856.91,1120.829,60.484,-1060.345,0.08545647074999035,16459.779000000002,32544.210000000003,16084.431,0.20950390754565723,-57.10999999999922
Transportation,36,7039.4,9375.245,941.741,-8433.504,-0.13717390593269096,33795.409999999996,40899.767,7104.357000000004,0.07305179075707459,7262.371000000014
Transportation (Railroads),4,5268.3,6745,0,-6745,-0.17650322128191845,3658.1,4800.8,1142.7000000000003,0.016339574887930853,750.8000000000002
Trucking,22,842.96,1596.341,27.721999999999998,-1568.619,-0.04192038803816243,11254.500000000002,11776.75,522.2499999999982,0.021015115592189586,2057
Utility (General),14,9662.2,1063.6,2610,1546.4,0.01051120451987232,28823.1,46181.600000000006,17358.500000000007,0.07572918543518163,300
Utility (Water),13,1038.2900000000002,7.782,2464.1600000000003,2456.378,0.14356471984056013,3062.3239999999996,3998.941,936.6170000000002,0.039543146886656444,-0.4919999999999902
Total Market,6481,700711.3805400002,928138.3559999979,166523.34099999996,-761615.014999998,-0.06816073577144363,13749120.710999995,14350263.623999987,601142.9129999913,0.027704973947588765,150984.57899999293
Total Market (without financials),5214,586557.7755600002,751879.1409999981,155964.39699999997,-595914.7439999981,-0.06956709650356346,10934509.215999996,11261815.867999988,327306.6519999914,0.03750689108366721,150391.20199999306
