Industry_Name,Number_of_firms,Number_of_Employees,Market_Capitalization_millions_,Revenues_millions_,Mkt_Cap_per_Employee_,Revenues_per_Employee_,Stock_based_Compensation_millions_,Stock_based_Compensation_as_of_Revenue
Real Estate (General/Diversified),3,626,0,0,0,0,3.344,0.018676347388997486
Real Estate (Operations & Services),34,57399,6156.4,2008.33,107256.22397602745,34988.937089496336,118.03400000000002,0.008954152771498192
Recreation,17,34475,8319.2,9706.82,241311.09499637422,281561.13125453226,52.97800000000001,0.0052194148281114235
Restaurant/Dining,22,145581,5.89,4.14,40.458576325207275,28.437776907700865,372.002,0.020279418354519407
Retail (Automotive),10,17119,553.8000000000001,2367.1000000000004,32350.020445119466,138273.26362521178,9.816,0.0006514856873585496
Retail (Building Supply),10,16207,1037.6,546.7,64021.71901030418,33732.337878694394,9.539000000000003,0.0019926885314393156
Retail (Distributors),33,57510,21781.299999999996,15625.999999999998,378739.34967831674,271709.2679533994,70.97600000000001,0.0017782478170827996
Retail (General),10,189135,48183.7,33472.799999999996,254758.24146773468,176978.34879847727,115.566,0.002176462057964409
Retail (Grocery and Food),12,1156740,157644.99999999997,227436.1,136283.86672891054,196618.16830056885,302.274,0.001107772969319269
Retail (REITs),18,5355,6700.2,1404.9,1251204.481792717,262352.9411764706,33.82,0.004880794319690585
Retail (Special Lines),41,97612,9809.65,11710.9,100496.35290742942,119973.9786091874,74.91999999999999,0.0036555061182887033
Semiconductor,10,18784,0,0,0,0,28.324,0.003586589013798187
Semiconductor Equip,2,65,0,0,0,0,0.165,0.2162516382699869
Shipbuilding & Marine,9,12644,440.5,104,34838.65865232521,8225.245175577349,7.096999999999999,0.0016792505956761128
Software (Entertainment),38,18542,26236.099999999995,2162.384,1414955.2367597884,116620.8607485708,51.95100000000001,0.015830572559000125
Software (Internet),20,13876,1192.83,247.98,85963.5341597002,17871.144422023637,679.124,0.08768524806908183
Software (System & Application),229,121388,46451.149999999994,8521.481,382666.7380630704,70200.3575312222,1769.538000000001,0.06273415788247783
Steel,52,43263,12258.5,19369.200000000004,283348.3577190671,447708.2033146107,987.7459999999998,0.021525798351562826
Telecom (Wireless),3,22075,6.59,16.1,298.5277463193658,729.3318233295585,83.5,0.0062195669512919265
Telecom. Equipment,18,4145,463.88,346.66600000000005,111913.14837153196,83634.74065138723,15.797,0.012690595928597828
Telecom. Services,22,212373,46832.899999999994,22183,220521.9119191234,104453.01427205907,1274.5019999999997,0.020317821563097214
Tobacco,2,104,0,0,0,0,0.9690000000000001,0.2823426573426574
Transportation,45,33066,2573.8000000000006,2331.9200000000005,77838.262868203,70523.19603217808,27.525,0.0032378593215117244
Transportation (Railroads),3,48327,160171.09999999998,23138.8,3314319.1176774884,478796.5319593602,148.85999999999999,0.006433350044081802
Trucking,3,34690,11814.1,7961.9,340562.1216488902,229515.7105794177,24.373,0.0025820497065491455
Utility (General),6,20958,4347.4,9422.3,207433.91544994753,449580.1126061647,17.946,0.0009190587150795074
Utility (Water),6,3,0,0,0,0,-2.2720000000000002,-0.07263659324147193
Total Market,4589,6113863,2186093.825,1082383.8910000003,357563.430027791,177037.6423220475,19551.670000000006,0.008104347768834227
Total Market (without financials),4243,4971398,1288834.2880000002,834271.0210000003,259249.8705595489,167814.16836873657,14196.778000000004,0.007652204176716297
