Industry_Name,Number_of_firms,PBV,ROE,EV_Invested_Capital,ROIC
Advertising,11,0.9520205508414851,-0.029078226472571845,1.129189903813556,0.04534395597694975
Aerospace/Defense,21,3.892276713363167,0.3232109681681111,1.7244365848653476,0.09350468762281135
Air Transport,12,2.748933873017145,0.5522014646790876,1.7236199941322368,0.16126010665755422
Apparel,8,12.145408595949661,0.2851710543772863,10.21776543424429,0.3388019955934532
Auto & Truck,4,0.6223933827308888,-0.5131937290687442,0.046381848102895126,-0.6164519475361939
Auto Parts,14,1.3747141246225245,0.10531720114567558,1.3542523829167628,0.1041934126737988
Bank (Money Center),13,1.4791837161620986,0.11132357144863525,1.148056779264952,8.984097662639923e-07
Banks (Regional),9,0.8322039833478425,0.07453217270450718,0.9819158343914772,1.682816513308822e-05
Beverage (Alcoholic),14,2.1214543305429783,0.04880874834160648,1.9267252264661563,0.07653225987328754
Beverage (Soft),9,2.245590438052151,-0.9624333494910324,1.5664745776195546,-0.552688723706346
Broadcasting,12,1.1679528114937257,-0.0579280720001443,1.3379729608909026,0.11699357219170492
Brokerage & Investment Banking,21,1.635007614682816,-0.05066066848718565,2.440945360968011,0.04640156359932801
Building Materials,8,1.122127723935731,0.05344983809155994,1.198290177270593,0.10569368400192938
Business & Consumer Services,68,4.231401141437206,0.13518488181495575,3.96209195485767,0.11066330036110522
Cable TV,2,0.7981125356125356,0.1331038201501514,1.2519351992042858,0.12294721141397333
Chemical (Basic),19,1.7908183705885345,0.08687372684361824,1.5745036027793051,0.09675528466545184
Chemical (Diversified),1,0.9066576643919847,0.08911428641938748,1.2137060873546843,0.07468297962473135
Chemical (Specialty),50,1.1139077639951256,0.07343096058314827,1.4690073806576514,0.1551813917624225
Coal & Related Energy,85,2.4308179470601994,0.2763378419624042,2.8024410519189464,0.4215392064111967
Computer Services,19,4.009691012935468,0.15276240197944368,13.38730577751127,0.7063777402761309
Computers/Peripherals,5,1.5491221516623088,-0.5745475438092502,0.8073489775228111,-0.47315819038154083
Construction Supplies,9,1.9247059419262433,0.1054040781267506,1.7372643730970345,0.04211480464845631
Diversified,6,1.2510608820454043,0.15928999839822502,1.5094673422319138,0.0981935807542841
Drugs (Biotechnology),92,5.120934750968853,0.05382629283656779,3.8807284850276336,0.0985861102338638
Drugs (Pharmaceutical),165,1.6492750817745538,-0.49223252625270975,1.8116827918136271,-0.0037014779933940683
Education,17,3.812352821974858,0.06383585725033333,4.562933434612692,0.15878186269113273
Electrical Equipment,33,2.086855610583157,-0.23472766968002828,1.8966345417953487,-0.3012938876284501
Electronics (General),45,2.493767565503719,0.044850522854966365,2.2887553040681783,0.12536188753275648
Engineering/Construction,44,2.7972602012510763,0.04922432440950661,4.605638179424419,0.16339125046102693
Entertainment,35,1.9468986428288755,-0.08319305834223627,1.5508298187954446,0.06466172508569812
Environmental & Waste Services,35,3.469126609649068,0.030511397720973367,4.3297788415158776,0.10136776313010584
Farming/Agriculture,30,1.3245596868596583,-0.027396714738164994,1.3004000856635205,0.035626495059733566
Financial Svcs. (Non-bank & Insurance),85,1.8143150070653107,0.08649096604262159,1.1754404870185575,0.013608352105064829
Food Processing,70,1.3093655597950242,0.07693703326841769,1.3360948857051431,0.1185132574385699
Food Wholesalers,5,1.932603997322368,0.19660571467512308,1.5709806813594676,0.11003831333499696
Furn/Home Furnishings,5,3.342795257637939,-0.013315278718122332,2.8088103170419383,0.028825423443224137
Green & Renewable Energy,24,1.7888375448560976,0.03807098416133466,1.395808922784498,0.047337299979252775
Healthcare Products,54,3.0079181143944034,0.00019147742191999892,3.1080950281964466,0.06620576225137631
Healthcare Support Services,35,1.8417746195070086,0.029969382886085406,4.050306181945917,0.16806814604981107
Heathcare Information and Technology,55,5.539849955269376,-0.15017658881557103,4.89535450427151,-0.1456035884011446
Homebuilding,4,0.8211566652480258,0.003452568288042837,0.906618400940043,0.008162806998941648
Hospitals/Healthcare Facilities,15,1.7083359642304674,0.12118738309677626,1.3326429437691278,0.04205049881204344
Hotel/Gaming,31,3.082893114450434,-0.04303097150546527,4.036889496039343,0.1757374501071264
Household Products,8,1.1789503592158137,-0.009381800323451964,1.403096900237915,0.009274164077824694
Information Services,4,3.0449826667076816,0.044127096390096925,3.3630424534733767,0.19671759919446558
Insurance (General),4,2.7034142211185777,0.10130108145025378,7.354258440815667,0.4236227816452569
Insurance (Life),11,1.166216978884044,0.17407220535542547,1.439182000251816,0.2573014954293477
Insurance (Prop/Cas.),8,1.4449648224470257,0.1429595784234547,1.444373047406053,0.11681206808802223
Investments & Asset Management,195,0.5982290500160828,0.07222576022934679,0.8789012312972141,0.09048521029551009
Machinery,30,3.2881159997041722,0.0472053945213642,3.897034055046528,0.1827470222825713
Metals & Mining,1275,2.1064251511528407,0.10024665472258773,1.9434423371223326,0.1795699296908071
Oil/Gas (Integrated),4,1.4866905403935442,0.20518028811106462,1.4219487755054856,0.18255928863730955
Oil/Gas (Production and Exploration),228,1.3998172251522547,0.1613335626856273,1.3726962550709136,0.16220449924637576
Oil/Gas Distribution,7,1.5980846342078228,0.047793006704694295,1.5045005236637907,0.05962179562866687
Oilfield Svcs/Equip.,33,1.9063003785481432,0.10004395225206766,1.6289304279669186,0.09750527756125121
Packaging & Container,6,1.925644680941157,0.12626316838667137,2.4195093336068707,0.161403594126279
Paper/Forest Products,18,0.9317285514197834,-0.03880576441333071,0.9626902636041346,-0.023777046642993373
Power,19,1.4111190331552472,0.09902435046039046,1.4344322985980487,0.06909616950989025
