Industry_Name,Number_of_Firms,Goodwill_in_millions_,Change_in_Goodwill_in_last_year,Goodwill_as_of_Total_Assets,Impairment_of_Goodwill_in_LTM_in_millioins,Impairment_as_of_Goodwill
Restaurant/Dining,22,12649.27,399.52700000000186,0.23656636920547267,3.177,0.00025116073892011157
Retail (Automotive),10,1223.13,130.78999999999996,0.1434139203416242,0,0
Retail (Building Supply),10,723.03,13.039999999999964,0.15903002309468825,1.75,0.0024203698325104077
Retail (Distributors),33,3513.171999999999,-36.07300000000032,0.10522977142055598,26.79,0.007625587360937639
Retail (General),10,2857.9,-78.99999999999955,0.06083576535901383,0,0
Retail (Grocery and Food),12,21658.6,574.8999999999942,0.1353069348224472,0,0
Retail (REITs),18,32.8,-1.2000000000000028,0.00036444606420472974,0,0
Retail (Special Lines),41,2425.4019999999996,-18.275000000000546,0.16626987881106234,5.68,0.0023418798203349387
Semiconductor,10,0.003,-279.09700000000004,2.582595270648236e-07,282.2,94066.66666666666
Shipbuilding & Marine,9,1020.8499999999999,46.489999999999895,0.09093459941921575,0,0
Software (Entertainment),38,4168.030000000001,1615.0920000000006,0.39674065807645575,107.91999999999999,0.02589232803026849
Software (Internet),20,677.3589999999999,-1434.8299999999995,0.04619424430159779,28.15,0.041558464566057295
Software (System & Application),229,17692.433999999994,3760.305000000002,0.3330461699434635,1379.9599999999998,0.07799718229837682
Steel,52,1565.718,47.759000000000015,0.027815711985390814,0.492,0.000314232831199488
Telecom (Wireless),3,12052.5,9120.9,0.22612740058086736,0,0
Telecom. Equipment,18,279.58,-32.10000000000002,0.1898857547649724,22.5,0.08047785964661278
Telecom. Services,22,23774.136,-3514.870999999999,0.14309951241109403,84.45,0.003552179561856633
Tobacco,2,0.951,0.20599999999999996,0.045480631276901,0,0
Transportation,45,1367.3870000000002,300.33600000000024,0.1411049528887216,25.389,0.018567530625931063
Transportation (Railroads),3,13448.199999999999,13429.599999999999,0.12668480370176383,0,0
Trucking,3,1701.0299999999997,175.01999999999975,0.21438131726867135,0,0
Utility (General),6,3906.1000000000004,176.70000000000027,0.05726185118456873,0,0
Total Market,4589,499478.67800000095,53039.84000000096,0.032036894674288746,12512.851000000004,0.025051822132034995
Total Market (without financials),4243,354933.94900000084,34059.719000000856,0.10704596125955357,11596.938000000004,0.03267351019161026
