Industry_Name,Number_of_Firms,Dividends_in_millions,Buybacks_in_millions,Equity_Issuance_in_millions,Net_Equity_Change_in_millions,Net_Equity_Change_as_of_Book_Equity,Debt_Repaid_in_millions,Debt_Raised_in_millions,Net_Debt_Change_in_millions,Net_Change_in_Debt_as_of_Total_Debt,Change_in_Lease_Debt_in_millions
Insurance (Life),11,6218.493000000001,2144.62,446.93199999999996,-1697.6879999999999,-0.016409489095543395,7417.219999999999,5049.4800000000005,-2367.739999999999,-0.0472775390456915,0.8289999999999997
Insurance (Prop/Cas.),8,1861.0500000000002,509.2,446.90000000000003,-62.299999999999955,-0.001320606334246946,13387.1,15302.699999999999,1915.5999999999985,0.05299412959161651,251.402
Investments & Asset Management,195,7042.3952,1581.711,9876.497999999996,8294.786999999997,0.08748551349825387,83561.46600000001,91935.77500000002,8374.309000000008,0.03509303255895153,-115.66100000000006
Machinery,30,60.831,19.021,180.45700000000002,161.43600000000004,0.10759982590577984,717.7740000000001,481.5519999999999,-236.2220000000002,-0.18689972363254304,23.505000000000017
Metals & Mining,1275,15716.292,498.31399999999996,6558.145000000006,6059.831000000006,0.04348189912505026,13844.983000000017,21244.326000000005,7399.342999999988,0.11627064067653003,177.55200000000332
Office Equipment & Services,1,0,0,0.088,0.088,0.3911111111111111,1.26,2.07,0.8099999999999998,0.10292249047013975,-0.04199999999999998
Oil/Gas (Integrated),4,3637.1000000000004,5142.799999999999,195.24599999999998,-4947.553999999999,-0.07743844344839805,4580.9,201.4,-4379.5,-0.19931188589684662,42.09999999999991
Oil/Gas (Production and Exploration),228,9291.698600000002,4903.148,1511.769999999999,-3391.378000000001,-0.023673615882012545,13844.464,10805.409000000001,-3039.0549999999985,-0.06745379537481308,-346.72899999999936
Oil/Gas Distribution,7,8728.1,271.1,3837.23,3566.13,0.0448252933146631,20256.8,23620.100000000002,3363.300000000003,0.027994443228287955,84.69999999999982
Oilfield Svcs/Equip.,33,1081.201,331.403,35.791,-295.612,-0.025501105276211227,13065.277,11916.784,-1148.4930000000004,-0.08598273701677092,336.869
Packaging & Container,6,307.33,3,14.8,11.8,0.0018094551699814453,848.495,761.0999999999999,-87.3950000000001,-0.020592116114134938,81.20000000000005
Paper/Forest Products,18,193.822,303.71600000000007,0.982,-302.73400000000004,-0.018546570433825835,294.109,1121.6280000000002,827.5190000000002,0.17977428254871725,41.72000000000003
Power,19,2768.9000000000005,87.722,89.02300000000001,1.3010000000000161,2.4907186747615646e-05,18042.605000000003,21222.467,3179.8619999999974,0.04617337854164634,161.72600000000034
Precious Metals,682,3025.4552,620.6099999999998,4340.503999999997,3719.8939999999975,0.030058306696228037,7343.134999999997,7798.452999999995,455.3179999999984,0.01999855144706172,411.3690000000033
Publishing & Newspapers,6,10.1,7.792999999999999,0,-7.792999999999999,-0.10401761879337959,107.503,110.69999999999999,3.1969999999999885,0.009362215538876442,0.6849999999999952
R.E.I.T.,53,2006.1994,541.671,639.7990000000001,98.12800000000004,0.0017209155745069214,9051.249999999998,9625.803,574.5530000000017,0.01271959478157305,19.41500000000002
Real Estate (Development),13,111.53000000000002,21.61,3.43,-18.18,-0.0047369729335932685,388.634,587.5880000000001,198.95400000000006,0.07524732403656431,-7.433
Real Estate (General/Diversified),3,81.8,1.24,0.103,-1.137,-0.0018940529735132436,109.343,142.78900000000002,33.44600000000001,0.04855268124147143,1.2
Real Estate (Operations & Services),34,221.963,114.52699999999999,592.793,478.266,0.03925545421206578,5387.419000000001,5760.460000000001,373.04100000000017,0.02067290845994838,101.43399999999974
Recreation,17,63.757000000000005,424.413,26.073,-398.34000000000003,-0.18955176437222465,265.764,315.99700000000007,50.23300000000006,0.018819982983225646,1.4779999999999944
Restaurant/Dining,22,2175.178,232.96,330.83899999999994,97.87899999999993,0.011520029791374453,1223.497,1507.139,283.6419999999998,0.009367367023560254,53.56399999999985
Retail (Automotive),10,226.85000000000002,13.687000000000001,39.999,26.312,0.011138627483352596,694.6189999999999,808.3460000000001,113.7270000000002,0.023744869027088233,28.728999999999985
Retail (Building Supply),10,176.65,37.33,3.5149999999999997,-33.815,-0.018103217516997696,357.78,162.98000000000002,-194.79999999999995,-0.1361752102397047,3.807999999999879
Retail (Distributors),33,717.688,341.687,40.964999999999996,-300.72200000000004,-0.02264841439936123,3328.6279999999992,2453.512,-875.1159999999991,-0.07962646942544142,115.48800000000006
Retail (General),10,2071.5383,843.04,28.503,-814.5369999999999,-0.061905728204777424,3300.9800000000005,1951.8079999999998,-1349.1720000000007,-0.06004363178052738,271.329999999999
Retail (Grocery and Food),12,2985.9499999999994,5337.766,78.30099999999999,-5259.464999999999,-0.12043301216886423,15850.839,13437.059999999998,-2413.7790000000023,-0.0354166978461918,-472.0679999999993
Retail (REITs),18,1957.5900000000001,148.18,109.88900000000001,-38.291,-0.0008947498784910456,5936.299999999999,6512.7429999999995,576.4430000000002,0.013966791366627583,34.09000000000002
Retail (Special Lines),41,806.9010999999999,42.441,40.876,-1.5650000000000048,-0.00026046694316661317,1442.4090000000003,634.6370000000002,-807.7720000000002,-0.1558137839217286,296.98499999999876
Semiconductor,10,0,0.018,96.17099999999999,96.15299999999999,0.04271312027044135,1715.74,2158.043,442.3030000000001,0.13970046881302156,-18.08699999999999
Semiconductor Equip,2,0,0,7.98,7.98,0.87596048298573,0.349,0,-0.349,-0.11672240802675583,0.15699999999999992
Shipbuilding & Marine,9,310.84,22.592,0.072,-22.52,-0.0038890615825648476,1015.827,991.3050000000001,-24.521999999999935,-0.005944006787056098,156.40699999999993
Software (Entertainment),38,408.69,91.91,1175.9260000000002,1084.016,0.2442869472920381,2187.1130000000007,2354.0589999999997,166.945999999999,0.06738695814158464,12.595000000000006
Software (Internet),20,0.982,3.636,481.362,477.726,0.04594105420951308,193.389,496.034,302.645,0.11570051097920987,128.8989999999999
Software (System & Application),229,581.4590000000001,623.901,559.0970000000004,-64.80399999999952,-0.003134095661494434,1839.2319999999997,6868.156999999998,5028.924999999998,0.2901538802039519,197.2459999999994
Steel,52,4831.5447,585.961,204.27900000000005,-381.68199999999996,-0.011593943162394852,3028.5370000000003,1298.371,-1730.1660000000002,-0.19205944790759658,210.6840000000002
Telecom (Wireless),3,755.5,0,0,0,0,1267.45,5729.8,4462.35,0.12447453939385487,-12.037999999999997
Telecom. Equipment,18,50.27,4.227,19.357,15.129999999999999,0.016605972003626315,50.55199999999999,51.26199999999999,0.7100000000000009,0.002685508090565927,7.895999999999997
Telecom. Services,22,5657.9,389.84000000000003,633.42,243.57999999999993,0.004946054140022755,15910.994999999997,19296.961000000003,3385.966000000006,0.043927895410912104,-183.84400000000005
Tobacco,2,0,0.011,0.214,0.20299999999999999,0.010152030406081217,0.159,0,-0.159,-0.12325581395348838,0
Transportation,45,257.40439999999995,2.9400000000000004,262.90200000000004,259.96200000000005,0.0721441117220514,926.2590000000001,1054.465,128.2059999999998,0.03664527886838266,29.72300000000007
Transportation (Railroads),3,2260.7,3458.3599999999997,87.19999999999999,-3371.16,-0.07233333118768225,1789,4213.4,2424.3999999999996,0.06992022795309427,15.799999999999955
Trucking,3,170.16000000000003,299.1,18,-281.1,-0.09145329732895209,315.2,413.09999999999997,97.89999999999998,0.03517281023209024,27
Utility (General),6,1026.91,20.555,26.461,5.905999999999999,0.00032546041682739456,19588.729999999996,20785.6,1196.8700000000026,0.04291628658141292,49.17399999999998
Utility (Water),6,4.22,2.98,2.6879999999999997,-0.29200000000000026,-0.0028098807725247575,0.393,8.884,8.491,0.09373827029652691,-0.13
Total Market,4589,139679.4853,57179.83699999999,53802.194000000076,-3377.6429999999164,-0.0015815540574119422,527882.2179999995,584196.4549999996,56314.23700000008,0.015336570053518609,4454.127000000022
Total Market (without financials),4243,88651.9744,36679.39399999999,29791.76600000008,-6887.627999999913,-0.005132818838226393,264460.3179999995,283709.1619999996,19248.8440000001,0.017504384759334683,4289.443000000043
