Industry_Name,Number_of_Firms,Goodwill_in_millions_,Change_in_Goodwill_in_last_year,Goodwill_as_of_Total_Assets,Impairment_of_Goodwill_in_LTM_in_millioins,Impairment_as_of_Goodwill
Shipbuilding & Marine,240,6568.928999999998,529.7089999999971,0.013281666895234846,27.916999999999998,0.004249855646179157
Shoe,58,825.2579999999999,28.767999999999915,0.02635095847589002,14.165,0.01716432921583311
Software (Entertainment),66,1341.509,237.96000000000026,0.004704448388190169,711.086,0.530064278361159
Software (Internet),42,856.402,-191.35399999999981,0.03620735060771681,212.62099999999998,0.24827242346468126
Software (System & Application),521,9393.559000000003,-431.2189999999955,0.06447156377834519,663.592,0.07064329930753613
Steel,536,8065.1050000000005,162.62399999999798,0.009076816599619153,103.85199999999999,0.012876707742800619
Telecom (Wireless),63,20251.131999999998,5602.1889999999985,0.026401894155051668,1043,0.051503293741801695
Telecom. Equipment,299,2442.4519999999993,-74.0619999999999,0.01714962022938041,153.195,0.06272180579188456
Telecom. Services,140,48172.10800000001,5860.304000000011,0.07855350787337265,-424.138,-0.008804638568027788
Tobacco,31,187.51,-5.1699999999999875,0.0054650978698738365,2.11,0.01125273318756333
Transportation,296,9253.013000000003,1700.2820000000002,0.02116919919566858,225.99499999999995,0.02442393628972529
Transportation (Railroads),15,636.41,-48.91999999999996,0.004234901588662034,38.1,0.05986706682798825
Trucking,55,898.3399999999999,27.2589999999999,0.03234680510756462,4.953,0.0055135026827259175
Utility (General),14,161.99,23.159999999999997,0.0009904743503279469,0,0
Utility (Water),71,1746.552,-41.21400000000017,0.011727943711843769,4.203,0.0024064556909842937
Total Market,25637,810228.4490000008,18670.597000000183,0.007589823129674851,24089.08700000002,0.029731228309412272
Total Market (without financials),23133,735064.9620000008,19446.442000000156,0.01951570177540466,22688.08000000002,0.030865408056274617
