Industry_Name,Number_of_firms,Total_Dividends_US_millions_,Special_Dividends_as_of_Total_Dividends,Dividend_Payout,Dividend_Yield,Market_Cap_US_millions_,ROE,Institutional_Holdings,Std_Dev_in_Stock_Prices,Net_Cash_Returned_FCFE_pre_debt_,Net_Cash_Returned_FCFE_post_debt_,Net_Cash_Returned_Net_Income,Cash_Firm_Value
Retail (Grocery and Food),86,1789.8798000000002,0.006793752295545209,0.8614087047585681,0.014318358793418234,125005.93299999998,0.062401244798299595,0.11771234374999999,0.283696512276218,0.35820028758186795,1.134302133491724,0.25296959619688314,0.055139900994404044
Retail (REITs),40,2829.559,0,1.4916973839036058,0.051832253479072436,54590.70000000001,0.02968593696203323,0.2264671052631579,0.1350712005548403,-2.8238616934608216,-0.7773898719756711,-2.915575442358523,0.05958975904139555
Semiconductor,513,26328.713540000004,0.0001625601643429176,0.642666670734891,0.01968819857962409,1337284.0300000014,0.11441162773973863,0.11358601941747577,0.32380271915068704,1.7817463703423193,0.3413370580553063,0.13872715288159307,0.06342443774975146
Semiconductor Equip,277,4365.866050000001,0,0.3341960272166081,0.015724500495880818,277647.3600000001,0.17130289082253225,0.10985186440677969,0.33201055407825636,-7.7221108393602425,-1.2391076351264108,-0.559172136594877,0.05154315643549348
Shipbuilding & Marine,240,30257.763099999975,0.1098957642377735,1.0606790088445284,0.0005327282632385555,267617.968,0.10697454998352568,0.0937202366863905,0.29919076904362635,0.05466816707537633,0.08405714512626504,0.045156399626825584,0.1561999720178939
Shoe,58,1289.4906,0.0003381180134232851,0.9517687749661209,0.03330025750493077,38723.14200000001,0.07076805430630037,0.11778153846153847,0.31336218587704195,0.00723346670027705,0.023013214583980746,0.005532418245890843,0.06983623080362436
Software (Entertainment),66,2050.5526,0,0.07421535248058406,0.004545280007391071,451138.89500000014,0.18936998553332493,0.1138855357142857,0.4082395077604536,0.036163698311240514,0.024837164554771616,0.04109757649574688,0.04923328011773606
Steel,536,18971.446520000005,0.000684186099690199,0.7591992271404917,0.038186125369834206,496815.17400000023,4.367397839745259e-05,0.07164831550802138,0.3208591156394216,0.6680019077549478,0.9702847168551912,0.38693553057662783,0.10985394696870987
Telecom (Wireless),63,23196.6881,0.005893082642258745,0.7382580040343921,0.044555786834812455,520621.22,0.11387759153825903,0.14117555555555553,0.25038701177270106,0.4098189218415896,0.5696249283658081,0.6281163873793592,0.11563791067500187
Telecom. Services,140,17835.83594,0.05623509900932627,0.8539962296648537,0.0388951664414738,458561.75900000014,0.06708947700348619,0.11470411764705885,0.26326849022810117,0.12106435709811768,0.20242932726361748,0.21179773599922647,0.0740307294444372
Tobacco,31,3871.257760000001,0.01110750114453758,0.7700904452879312,0.03739629170565679,103519.83,0.19477912346823617,0.11596125000000003,0.25062970194532397,0.14490079513429358,0.14483420928948493,0.3528829641857954,0.05063589139732559
Transportation,296,8303.956019999998,0.027600098007262815,0.6884515553126574,0.031155075592766143,266536.21800000005,0.0779467214734034,0.08183810426540285,0.29033156450863157,-0.9036293233484143,-0.451753117175475,-0.11211247465927489,0.10103519071446139
Transportation (Railroads),15,3431.4000000000005,0,0.7059317274281447,0.030813356225889182,111360.80000000002,0.05738814128825536,0.11181200000000001,0.24330392331949519,1.1221624663529752,0.3750414178838564,0.9084444317895662,0.10714643305133277
Trucking,55,167.51440000000002,0,0.3624025112875973,0.014278881712745701,11731.619,0.08905616071659082,0.08155125,0.38434835647702925,-0.7094229262586271,-0.14591441449495507,-0.36577131815545866,0.1031954794408663
Total Market,25637,996822.6781639978,0.01968674813472834,0.5685893921249484,0.030682313460865546,32488510.99299986,0.0029683614438498216,0.0993207693580409,0.31499736561469277,0.33899579847768224,0.21428094455580723,0.16875341331056995,0.12279000716315412
Total Market (without financials),23133,772148.6272039977,0.021867729093998672,0.6948222776782988,0.02885177042037249,26762608.18499986,0.0019001638586821459,0.09568757552638163,0.317085829191504,0.7216692291804281,0.5142790284988716,0.21832647739721542,0.09404795552937799
