Industry_Name,Number_of_firms,Number_of_Employees,Market_Capitalization_millions_,Revenues_millions_,Mkt_Cap_per_Employee_,Revenues_per_Employee_,Stock_based_Compensation_millions_,Stock_based_Compensation_as_of_Revenue
Metals & Mining,331,952074,120817.14299999995,86140.658,126898.8996653621,90476.85158926721,367.137,0.0006841412791572698
Office Equipment & Services,71,64697,2068.921,2199.64,31978.62342921619,33999.10351330046,6.446,0.0005853084314832737
Oil/Gas (Integrated),16,1069830,9206.9,12990.5,8605.946739201556,12142.58340110111,106.80000000000001,6.611501167600394e-05
Oil/Gas (Production and Exploration),103,126853,10282.000000000002,6452.209999999999,81054.44885024399,50863.67685431168,176.195,0.0014415786378753803
Oil/Gas Distribution,111,128229,14895.36,45485.39,116162.17860234424,354719.99313727784,96.35700000000001,0.0006683799719990293
Oilfield Svcs/Equip.,225,855108,8147.859999999999,63264.829999999994,9528.457224116719,73984.60779223208,62.31099999999999,8.163798336627432e-05
Packaging & Container,320,310672,11346.919999999998,11531.409999999998,36523.79358294277,37117.63531956532,27.003000000000004,0.00048539453715708384
Paper/Forest Products,188,352337,12708.430000000002,30286.65499999999,36068.96238544349,85959.3372254404,99.50099999999998,0.0010609914000207028
Power,321,1285613,179600.80000000008,297295.26999999996,139700.51640734813,231247.87163788787,302.909,0.0003758931546680834
Precious Metals,62,325546,45017.1,27023.499999999996,138281.84035435852,83009.77434832558,168.03000000000003,0.0014029840886257779
Publishing & Newspapers,170,188996,6043.969999999998,3863.449999999999,31979.354060403384,20441.967025757152,53.403999999999996,0.0018796636541035929
R.E.I.T.,213,9173,6411.05,1462.2070000000003,698904.393328246,159403.3576801483,1311.527,0.0792140557087727
Real Estate (Development),773,1683436,161044.51500000007,431906.2859999999,95664.17434342622,256562.34392041032,455.778,0.0005320549172783642
Real Estate (General/Diversified),218,380152,64684.23499999999,38238.890000000014,170153.60960878804,100588.4225257266,63.71600000000001,0.0006272555779708386
Real Estate (Operations & Services),374,1397491,80600.97299999998,48906.66100000002,57675.48628220145,34996.04720173513,230.28999999999994,0.0026187796052642054
Recreation,143,187890,3732.38,5089.280000000001,19864.70807387301,27086.486774176385,23.612999999999996,0.0009607424435977296
Reinsurance,29,63140,3394.9999999999995,25269.3,53769.40133037693,400210.64301552105,140.713,0.0018763109294681608
Restaurant/Dining,158,1221514,46018.32,31207.760000000002,37673.182624186054,25548.425969739197,1460.5059999999996,0.01593490807183298
Retail (Automotive),107,308568,11311.62,72276.523,36658.43509372327,234232.07526379923,52.245000000000005,0.00024249826094701073
Retail (Building Supply),46,134251,2595.7560000000008,2882.8900000000003,19335.09620040075,21473.881013921688,19.404000000000003,0.0010699391969721452
Retail (Distributors),673,459886,31958.59600000001,97723.189,69492.4307328338,212494.37686731058,194.59999999999994,0.0003057997973857914
Retail (General),146,1681946,122441.10999999999,142162.99000000002,72797.28956815497,84522.92166335901,358.5600000000001,0.0010761610676727942
Retail (Grocery and Food),86,1254101,31687.81,65103.15,25267.350875248485,51912.206433134175,61.723,0.0003586109145828634
Retail (REITs),40,5440,2244.5,364.7,412591.9117647059,67040.44117647059,149.536,0.021254102333408666
Retail (Special Lines),251,1086326,86831.12300000002,79890.89800000003,79930.99953420981,73542.28656959331,630.4039999999999,0.0032089276687961325
Rubber& Tires,72,263267,9386.1,19269.7,35652.39851557544,73194.51355468023,5.727000000000001,0.00010040816524038686
Semiconductor,513,970377,23130.250000000007,25130.62000000001,23836.35432414413,25897.790240288065,1308.322,0.0036046039609178766
Semiconductor Equip,277,227970,43789.99,19179.300000000003,192086.6342062552,84130.80668509017,513.0590000000001,0.005796020049437869
Shipbuilding & Marine,240,360511,38885.04000000001,35885.36,107860.89744834417,99540.26368127464,106.47,0.0006457618821141574
Shoe,58,871359,10227.99,22641.44,11737.974818645358,25984.054792571143,52.33999999999999,0.0015191832587514197
Software (Entertainment),66,190113,355211.27200000006,84259.938,1868421.791250467,443209.76471887773,4838.033,0.041870748391163386
Software (Internet),42,31592,8985.84,828.7599999999999,284434.03393264115,26233.22360091162,243.079,0.010117298378869826
Software (System & Application),521,690171,39503.80000000001,13652.839999999998,57237.69906298585,19781.822186095906,1809.7739999999988,0.024353760885371094
Steel,536,1330908,28108.29000000002,87396.02300000002,21119.634114454206,65666.46454901466,205.39199999999994,0.00028260204145549536
Telecom (Wireless),63,1090763,158159.60000000003,89565.5,144999.05112292958,82112.70459302342,211.14399999999998,0.0005693867108835045
Telecom. Equipment,299,505549,17581.139999999996,25973.33000000001,34776.33226452826,51376.48378297654,379.9670000000002,0.00344270385247465
Telecom. Services,140,1061309,101790.94099999999,51714.87000000001,95910.74889593887,48727.43941679568,596.4689999999999,0.001794461839294189
Tobacco,31,121418,15040.5,12494.599999999999,123873.72547727685,102905.6647284587,67.61200000000001,0.0022906189410796455
Transportation,296,1511833,61474.48100000001,64085.09099999998,40662.21666017345,42389.00129842382,2100.762000000001,0.006356776613325027
Transportation (Railroads),15,200783,35227.8,10140.9,175452.10500889018,50506.76601106668,21.215,0.0005842002940965894
Trucking,55,143806,4355.39,9730.289999999997,30286.5666244802,67662.6149117561,35.910999999999994,0.002189603532437607
Utility (General),14,51824,201.9,455.8,3895.878357517752,8795.152824945972,40.748999999999995,0.0009440943422454936
Utility (Water),71,248986,27132.99,19375.100000000002,108973.95837516969,77816.02178435736,9.98,0.00026816639214095135
Total Market,25637,79420673,5447831.163000032,4946138.609999984,68594.6235056461,62277.72219960895,37292.08800000009,0.0015559073973515493
Total Market (without financials),23133,68718294,4444066.141000032,4487016.011999983,64670.786806785865,65295.800445802444,33136.8220000001,0.00156727387674442
