Industry_Name,Number_of_firms,Average_Company_Age_years_,Market_Cap_millions_,Book_Equity_millions_,Enteprise_Value_millions_,Invested_Capital_millions_,Total_Debt_including_leases_millions_,Revenues_millions_,Gross_Profit_millions_,EBITDA_millions_,EBIT_Operating_Income_millions_,Net_Income_millions_,Cash_Firm_Value
Insurance (Prop/Cas.),144,39.758865248226954,153960.94699999996,127263.46,178896.36923099915,189872.71834921947,38674.62023099903,261826.052,52824.714000000014,24821.112,23203.430153800204,17592.898000000005,0.09941071876944926
Investments & Asset Management,481,18.221153846153847,106424.878,104347.67700000005,364362.67006519967,364494.6139490244,265923.4730651996,24957.827999999998,12269.620999999996,4532.829000000001,3887.0653869600665,4883.506999999998,0.03250192491433221
Machinery,911,32.2734375,535847.0619999988,166356.44400000016,546592.0373233303,200534.19132333083,71393.32832333089,227750.55400000018,55715.642000000014,23596.594999999976,16885.926335333825,14022.990999999995,0.07503118441031167
Metals & Mining,331,33.069182389937104,513521.6470000003,254980.48600000003,617412.8058544368,393897.7213907625,179744.1998544366,536639.1579999997,75549.39599999996,57734.431000000026,38439.56302911267,23102.16000000001,0.09384778962360557
Office Equipment & Services,71,33.31428571428572,14496.316999999995,5065.179,14628.763174885831,6306.277174885836,2268.368174885836,11012.997000000001,2261.5019999999995,764.18,557.5235650228325,658.6480000000003,0.08416579399010377
Oil/Gas (Integrated),16,48.4375,2512583.6999999997,776484.1999999998,2678107.766013287,1088634.2100132867,292103.60601328657,1615366.8779999998,567059.6429999999,399811.112,319368.81739734265,173085.45099999997,0.05969475337001223
Oil/Gas (Production and Exploration),103,29.34020618556701,211965.288,146723.24399999998,246956.70346889272,202857.29901418,71825.28046889266,122223.64800000003,77630.748,61403.77199999998,43262.61230622146,28834.694999999992,0.0898297828040462
Oil/Gas Distribution,111,31.933962264150942,102245.10200000003,62634.34699999997,141454.41033918256,120074.42233918246,57935.619339182485,144165.002,20277.717999999997,17634.860000000008,12610.645932163503,10203.244000000002,0.08808447680885846
Oilfield Svcs/Equip.,225,36.142201834862384,470238.4899999999,261405.27500000002,619329.4005535068,480878.3565535069,207932.4295535072,763259.9119999999,105740.25300000001,63090.524000000005,43821.2098892986,25527.329,0.0638144442709247
Packaging & Container,320,33.96153846153846,65031.991000000045,38567.722,76020.41990473102,50874.6619047311,19110.305904731085,55631.03400000002,10460.675999999994,5588.059999999998,2947.4706190537804,1668.6889999999992,0.05574870664537496
Paper/Forest Products,188,43.33870967741935,78647.52500000005,71672.83200000001,136436.71078350177,133427.49578350174,71939.91178350178,93781.15600000005,17214.07199999999,12768.994999999994,6825.1994432996435,5756.815999999996,0.0898173346711804
Power,321,36.78095238095238,807421.9819999998,606923.5769999999,1587366.0573575366,1504215.0493575372,887634.2933575369,805838.0320000001,148157.29899999994,155054.891,85690.26052849255,42986.53500000001,0.06337347491036881
Precious Metals,62,31.137931034482758,144212.068,62308.44500000001,173304.7814943198,102421.29449431975,45084.94149431977,119766.148,20226.415000000005,20163.417,13565.318901136043,7428.273000000002,0.08896119553765135
Publishing & Newspapers,170,34.47826086956522,65133.05699999999,34429.96800000002,56731.93237376774,25598.361373767755,4734.286373767742,28411.466000000004,9619.732,3171.3340000000003,2395.064725246451,2647.649000000001,0.1914017498105531
R.E.I.T.,213,10.657407407407407,112140.43699999999,125012.26500000003,186227.49895920683,209788.64895920685,79782.9829592068,16556.746000000006,12363.949,7297.058000000001,10144.509208158639,6670.394000000001,0.023936443814440142
Real Estate (Development),773,30.264550264550266,482212.9290000002,808733.0400000002,1432501.6970087602,1998061.1270087606,1250111.751008759,856637.1350000002,125711.26700000008,51498.184000000045,42062.96779824802,-29335.064,0.23418932912113646
Real Estate (General/Diversified),218,36.705882352941174,229308.843,364397.1780000001,426418.9723154696,594682.5973154693,242287.2343154696,101579.00899999999,35399.38699999999,22252.183000000008,17987.81993690607,9750.576000000005,0.10886178452480556
Real Estate (Operations & Services),374,33.34571428571429,226396.34300000014,305498.786,363639.4902406886,471823.50345881464,171978.12724068871,87937.90799999997,36540.07800000002,25739.37199999999,23556.40135186227,8465.098000000005,0.10401646433301932
Recreation,143,31.848920863309353,50879.716000000015,20736.398999999994,54543.80953474407,24639.991534744076,11138.838534744085,24577.866999999995,7731.451000000005,3238.457,2360.3480930511846,1257.0000000000007,0.126282288344691
Reinsurance,29,39.172413793103445,51539.70999999999,46789.00000000001,59572.87525455557,77541.67857190625,21252.047254555582,74994.5,15681.729999999996,4874.694999999999,9727.165549088882,6716.729999999999,0.20722235759864194
Restaurant/Dining,158,25.947712418300654,161593.96299999993,41062.79800000001,179517.27444276438,59512.50544276438,28215.601442764357,91654.49799999998,30285.943,8649.408000000001,4860.4923114471285,3761.160999999999,0.06596245859117467
Retail (Automotive),107,32.78217821782178,68176.79699999996,38900.837000000014,109007.05001853725,77261.46601853725,53741.38601853726,215444.84399999995,17245.457000000006,8772.046999999997,6121.535396292549,3201.0250000000005,0.08926944354397999
Retail (Building Supply),46,29.844444444444445,19908.776000000005,6687.348000000001,25554.3038535016,12266.136853501594,6774.54785350159,18135.609999999997,6129.263000000001,1658.6490000000003,1282.539629299682,447.253,0.035174200530143786
Retail (Distributors),673,34.266462480857584,177731.70100000015,113036.21300000003,302797.2011412933,279891.203128636,179416.63814129317,636364.0579999998,42830.36099999994,23562.364,17654.1065717414,9042.941999999995,0.1338242275416883
Retail (General),146,41.24475524475525,341409.0960000001,146446.514,448092.69561238424,269077.69999489724,144360.36561238428,333184.3259999998,95326.76700000004,24834.47000000002,15495.021677523142,8735.099999999999,0.09182982092674058
